YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.065461        1.239080        0.022006        0.025591        0.000000        0.000000        0.817679            0.950922            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    1.5362E-004 2.8580E-003 11.484261   1.276355    0.414658    0.046588    0.000000    0.096209    2.9430E-003 0.000000        2.2327E-003 5.9392E-005 0.000000    0.000000    -999
2       0.335028    2.5101E-004 1.4976E-003 11.251578   1.250229    0.311089    0.035071    0.000000    0.030236    9.9691E-004 0.000000        7.0168E-004 2.2040E-005 0.000000    0.000000    -999
3       0.335028    1.1321E-003 3.7585E-003 22.525044   2.502850    0.628469    0.070803    0.000000    0.088304    7.9239E-003 0.000000        2.0493E-003 1.7536E-004 0.000000    0.000000    -999
4       0.384182    7.9181E-003 3.7155E-003 7.691448    0.854625    0.307093    0.034566    0.000000    0.187035    0.034178    0.000000        4.3405E-003 7.7809E-004 0.000000    0.000000    -999
5       0.380879    0.014933    7.7798E-004 7.677695    0.853079    0.273429    0.030561    0.000000    0.124285    0.024569    0.000000        2.8843E-003 5.4921E-004 0.000000    0.000000    -999
6       0.485947    0.022253    1.3791E-004 4.207326    0.467481    0.151740    0.016939    0.000000    0.073235    0.012108    0.000000        1.6996E-003 2.6095E-004 0.000000    0.000000    -999
7       0.488766    0.019329    5.5939E-005 4.207196    0.467466    0.137601    0.015323    0.000000    0.045155    4.8674E-003 0.000000        1.0479E-003 9.9175E-005 0.000000    0.000000    -999
8       0.491701    0.012869    3.1262E-005 4.207259    0.467473    0.137763    0.015338    0.000000    0.011892    3.0219E-004 0.000000        2.7598E-004 5.9023E-006 0.000000    0.000000    -999
9       0.494682    6.9945E-003 3.7423E-005 4.207201    0.467467    0.132768    0.014770    0.000000    4.8903E-003 9.2301E-005 0.000000        1.1349E-004 1.8163E-006 0.000000    0.000000    -999

