YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
0.813456        0.994061        0.016876        0.020623        0.000000        0.000000        0.045269            0.093657            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.286499    3.6378E-004 4.0532E-003 11.571687   1.286281    0.410917    0.046432    0.000000    0.073889    1.2725E-003 0.000000        1.7152E-003 3.0414E-005 0.000000    0.000000    -999
2       0.335028    5.9166E-004 1.5741E-003 11.243487   1.249337    0.312537    0.035309    0.000000    0.038822    5.7665E-004 0.000000        9.0118E-004 1.4017E-005 0.000000    0.000000    -999
3       0.335028    3.3911E-003 3.3822E-003 22.535689   2.504047    0.624098    0.070363    0.000000    0.063087    4.2330E-003 0.000000        1.4645E-003 1.0657E-004 0.000000    0.000000    -999
4       0.364607    0.018480    4.6006E-003 7.714688    0.857247    0.300292    0.033922    0.000000    0.105963    0.013055    0.000000        2.4597E-003 3.3082E-004 0.000000    0.000000    -999
5       0.372477    0.025818    1.8865E-003 7.683864    0.853770    0.285886    0.032051    0.000000    0.078144    0.010765    0.000000        1.8140E-003 2.7072E-004 0.000000    0.000000    -999
6       0.489294    0.029352    3.5216E-004 4.207900    0.467545    0.163356    0.018278    0.000000    0.052073    7.0774E-003 0.000000        1.2088E-003 1.7674E-004 0.000000    0.000000    -999
7       0.491986    0.019885    1.2683E-004 4.207251    0.467472    0.142803    0.015919    0.000000    0.036507    3.8686E-003 0.000000        8.4745E-004 9.5065E-005 0.000000    0.000000    -999
8       0.489319    0.010399    8.8983E-005 4.207246    0.467472    0.137734    0.015338    0.000000    0.013226    4.4569E-004 0.000000        3.0703E-004 1.0816E-005 0.000000    0.000000    -999
9       0.487297    4.7299E-003 8.1407E-005 4.207194    0.467466    0.132756    0.014771    0.000000    5.5373E-003 1.3115E-004 0.000000        1.2854E-004 3.1809E-006 0.000000    0.000000    -999

