index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,source_kind,source_project,source_run_name,source_created,notes
32,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=1,fertilization,PPO,lktnr61f,final_successful_runs\final_113\bundles\032_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
33,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=2,fertilization,PPO,8in1j5f5,final_successful_runs\final_113\bundles\033_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
34,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=2,fertilization,PPO,ctw876h7,final_successful_runs\final_113\bundles\034_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
35,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=2,fertilization,PPO,ppyj9pgl,final_successful_runs\final_113\bundles\035_fertilization_ppo_adaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
36,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=2,fertilization,PPO,4zkr08zy,final_successful_runs\final_113\bundles\036_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
37,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=0,fertilization,A2C,7v79alw2,final_successful_runs\final_113\bundles\037_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
38,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=0,fertilization,A2C,ipn736ko,final_successful_runs\final_113\bundles\038_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
39,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=0,fertilization,A2C,suqqtmoo,final_successful_runs\final_113\bundles\039_fertilization_a2c_adaptive_random_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
40,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=0,fertilization,A2C,techtnp8,final_successful_runs\final_113\bundles\040_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
41,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=1,fertilization,A2C,hfo2uk4f,final_successful_runs\final_113\bundles\041_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
