YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.992375        2.147518        0.037697        0.040632        0.000000        0.000000        1.100450            1.648095            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    4.6739E-007 8.5123E-005 11.306570   1.256398    0.408398    0.045528    0.000000    0.159008    5.5521E-003 0.000000        3.6859E-003 1.0410E-004 0.000000    0.000000    -999
2       0.335028    6.7058E-004 1.2600E-003 11.208115   1.245416    0.311606    0.035205    0.000000    0.041134    4.2953E-004 0.000000        9.5352E-004 8.1027E-006 0.000000    0.000000    -999
3       0.335028    3.7519E-003 2.6359E-003 22.411169   2.490253    0.614593    0.069420    0.000000    0.063175    6.5751E-004 0.000000        1.4644E-003 1.2521E-005 0.000000    0.000000    -999
4       0.364607    4.5921E-003 1.8309E-003 7.717037    0.857499    0.297931    0.033509    0.000000    0.107766    2.0298E-003 0.000000        2.4981E-003 4.0523E-005 0.000000    0.000000    -999
5       0.364607    2.8536E-003 7.7751E-004 7.690777    0.854544    0.282351    0.031633    0.000000    0.053035    9.2818E-004 0.000000        1.2294E-003 1.8943E-005 0.000000    0.000000    -999
6       0.437857    1.6125E-003 2.6694E-004 4.210425    0.467827    0.170749    0.019114    0.000000    0.030910    6.8352E-004 0.000000        7.1652E-004 1.4414E-005 0.000000    0.000000    -999
7       0.437857    9.0463E-004 9.1444E-005 4.207712    0.467524    0.151627    0.016918    0.000000    0.018626    5.4733E-004 0.000000        4.3176E-004 1.1860E-005 0.000000    0.000000    -999
8       0.447325    6.6416E-004 6.2020E-005 4.207291    0.467477    0.139420    0.015528    0.000000    0.011285    4.3391E-004 0.000000        2.6160E-004 9.5878E-006 0.000000    0.000000    -999
9       0.461330    6.1624E-004 5.7702E-005 4.207184    0.467465    0.132743    0.014768    0.000000    6.8484E-003 3.3054E-004 0.000000        1.5875E-004 7.3690E-006 0.000000    0.000000    -999

