YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
0.709548        0.793568        0.013725        0.015350        0.000000        0.000000        0.018483            0.041946            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.255479    2.3026E-003 7.3779E-003 11.472576   1.275086    0.403279    0.045764    0.000000    0.072115    4.7790E-003 0.000000        1.5105E-003 9.4153E-005 0.000000    0.000000    -999
2       0.335028    5.9347E-003 1.9744E-003 11.260476   1.251201    0.310326    0.034898    0.000000    0.029876    1.0762E-003 0.000000        6.2578E-004 2.1062E-005 0.000000    0.000000    -999
3       0.335028    0.017543    3.1111E-003 22.534511   2.503896    0.617190    0.069382    0.000000    0.047568    4.0492E-003 0.000000        9.9636E-004 8.0225E-005 0.000000    0.000000    -999
4       0.364607    0.020895    2.4389E-003 7.705646    0.856200    0.293299    0.032785    0.000000    0.072538    7.8300E-003 0.000000        1.5194E-003 1.5375E-004 0.000000    0.000000    -999
5       0.364607    0.013012    1.1840E-003 7.682743    0.853640    0.277654    0.030930    0.000000    0.050252    5.5143E-003 0.000000        1.0526E-003 1.0328E-004 0.000000    0.000000    -999
6       0.472080    8.6602E-003 1.7098E-004 4.207855    0.467540    0.159245    0.017723    0.000000    0.033950    3.7434E-003 0.000000        7.1111E-004 6.7930E-005 0.000000    0.000000    -999
7       0.486099    4.2883E-003 5.4906E-005 4.207258    0.467473    0.141640    0.015748    0.000000    0.023729    2.1375E-003 0.000000        4.9702E-004 3.7688E-005 0.000000    0.000000    -999
8       0.491998    1.7629E-003 3.6432E-005 4.207186    0.467465    0.134033    0.014896    0.000000    0.013124    5.7588E-004 0.000000        2.7489E-004 1.0372E-005 0.000000    0.000000    -999
9       0.495330    6.9207E-004 3.1170E-005 4.207169    0.467463    0.130908    0.014548    0.000000    4.8684E-003 8.2525E-005 0.000000        1.0197E-004 1.5072E-006 0.000000    0.000000    -999

