YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.955873        2.122395        0.029622        0.032144        0.000000        0.000000        0.210475            0.424199            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.326082    1.5479E-005 4.0352E-004 11.315365   1.257102    0.391314    0.042352    0.000000    0.160831    5.5373E-003 0.000000        3.5295E-003 5.6309E-005 0.000000    0.000000    -999
2       0.335028    4.8183E-004 1.2421E-003 11.211779   1.245817    0.311064    0.035044    0.000000    0.037255    3.4673E-004 0.000000        8.1758E-004 3.6011E-006 0.000000    0.000000    -999
3       0.335028    3.1237E-003 2.6772E-003 22.417161   2.490910    0.614781    0.069282    0.000000    0.060686    6.0081E-004 0.000000        1.3318E-003 6.4013E-006 0.000000    0.000000    -999
4       0.364607    4.8047E-003 1.7497E-003 7.716116    0.857373    0.300441    0.033583    0.000000    0.125418    3.0729E-003 0.000000        2.7524E-003 3.7258E-005 0.000000    0.000000    -999
5       0.364607    2.5066E-003 4.8414E-004 7.687843    0.854211    0.281641    0.031421    0.000000    0.079651    2.0211E-003 0.000000        1.7480E-003 2.6000E-005 0.000000    0.000000    -999
6       0.476735    8.7443E-004 4.5455E-005 4.209054    0.467673    0.163848    0.018265    0.000000    0.057734    2.2422E-003 0.000000        1.2670E-003 3.1625E-005 0.000000    0.000000    -999
7       0.479960    1.6782E-004 7.0844E-006 4.207737    0.467527    0.147705    0.016443    0.000000    0.029859    1.2923E-003 0.000000        6.5527E-004 1.9717E-005 0.000000    0.000000    -999
8       0.482936    3.9199E-005 6.7734E-006 4.207353    0.467484    0.140760    0.015661    0.000000    9.3402E-003 2.7254E-004 0.000000        2.0498E-004 4.4100E-006 0.000000    0.000000    -999
9       0.486573    1.7459E-004 2.5356E-005 4.207207    0.467467    0.133580    0.014853    0.000000    5.5880E-003 2.0641E-004 0.000000        1.2263E-004 3.4394E-006 0.000000    0.000000    -999

