index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,notes
11,Fertilization | PPO | adaptive | random_weather | years=1000 | seed=2,fertilization,PPO,9itudyvf,final_successful_runs\bundles\011_fertilization_ppo_adaptive_random_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
12,Fertilization | PPO | nonadaptive | random_weather | years=1000 | seed=2,fertilization,PPO,4lvuiim0,final_successful_runs\bundles\012_fertilization_ppo_nonadaptive_random_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
13,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=0,fertilization,PPO,zkmi6y59,final_successful_runs\bundles\013_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
14,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=0,fertilization,PPO,ogzw39v1,final_successful_runs\bundles\014_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
15,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=0,fertilization,PPO,cbnf3sv1,final_successful_runs\bundles\015_fertilization_ppo_adaptive_random_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
16,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=0,fertilization,PPO,ml6nhvhj,final_successful_runs\bundles\016_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
17,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=1,fertilization,PPO,aiv18hus,final_successful_runs\bundles\017_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
18,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=1,fertilization,PPO,dldpxwai,final_successful_runs\bundles\018_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
19,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=1,fertilization,PPO,unpiw1tk,final_successful_runs\bundles\019_fertilization_ppo_adaptive_random_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
20,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=1,fertilization,PPO,giomrzzf,final_successful_runs\bundles\020_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
21,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=2,fertilization,PPO,c3fkpsea,final_successful_runs\bundles\021_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
22,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=2,fertilization,PPO,th45fezf,final_successful_runs\bundles\022_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
23,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=2,fertilization,PPO,c068izb3,final_successful_runs\bundles\023_fertilization_ppo_adaptive_random_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
24,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=2,fertilization,PPO,mhrv8ogj,final_successful_runs\bundles\024_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
25,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=0,fertilization,PPO,y5c1ruhw,final_successful_runs\bundles\025_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
26,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=0,fertilization,PPO,hucthmou,final_successful_runs\bundles\026_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
27,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=0,fertilization,PPO,z0jsfylh,final_successful_runs\bundles\027_fertilization_ppo_adaptive_random_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
28,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=0,fertilization,PPO,0rffe5e9,final_successful_runs\bundles\028_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
29,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=1,fertilization,PPO,9sgit2cp,final_successful_runs\bundles\029_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
30,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=1,fertilization,PPO,8eqcw1fu,final_successful_runs\bundles\030_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
31,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=1,fertilization,PPO,n51ugwjm,final_successful_runs\bundles\031_fertilization_ppo_adaptive_random_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
32,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=1,fertilization,PPO,lktnr61f,final_successful_runs\bundles\032_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
33,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=2,fertilization,PPO,8in1j5f5,final_successful_runs\bundles\033_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
34,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=2,fertilization,PPO,ctw876h7,final_successful_runs\bundles\034_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
35,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=2,fertilization,PPO,ppyj9pgl,final_successful_runs\bundles\035_fertilization_ppo_adaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
36,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=2,fertilization,PPO,4zkr08zy,final_successful_runs\bundles\036_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
37,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=0,fertilization,A2C,7v79alw2,final_successful_runs\bundles\037_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
38,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=0,fertilization,A2C,ipn736ko,final_successful_runs\bundles\038_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
