index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,notes
96,Crop planning hierarchical | A2C | random_weather | seed=0 | profile=pakistan_baseline,crop_planning,A2C,a1h7d8zg,final_successful_runs\bundles\096_crop_planning_hierarchical_a2c_random_weather_seed_0_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
97,Crop planning | A2C | adaptive | fixed_weather | seed=1,crop_planning,A2C,8am8q7xl,final_successful_runs\bundles\097_crop_planning_a2c_adaptive_fixed_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
98,Crop planning | A2C | nonadaptive | fixed_weather | seed=1,crop_planning,A2C,qpsmfn5n,final_successful_runs\bundles\098_crop_planning_a2c_nonadaptive_fixed_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
99,Crop planning hierarchical | A2C | fixed_weather | seed=1 | profile=pakistan_baseline,crop_planning,A2C,8lio7v8m,final_successful_runs\bundles\099_crop_planning_hierarchical_a2c_fixed_weather_seed_1_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
100,Crop planning | A2C | adaptive | random_weather | seed=1,crop_planning,A2C,8b9csyyr,final_successful_runs\bundles\100_crop_planning_a2c_adaptive_random_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
101,Crop planning | A2C | nonadaptive | random_weather | seed=1,crop_planning,A2C,2ctb2ve7,final_successful_runs\bundles\101_crop_planning_a2c_nonadaptive_random_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
102,Crop planning hierarchical | A2C | random_weather | seed=1 | profile=pakistan_baseline,crop_planning,A2C,padkozck,final_successful_runs\bundles\102_crop_planning_hierarchical_a2c_random_weather_seed_1_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
103,Crop planning | A2C | adaptive | fixed_weather | seed=2,crop_planning,A2C,tkt81z9n,final_successful_runs\bundles\103_crop_planning_a2c_adaptive_fixed_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
104,Crop planning | A2C | nonadaptive | fixed_weather | seed=2,crop_planning,A2C,nvmwgfej,final_successful_runs\bundles\104_crop_planning_a2c_nonadaptive_fixed_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
105,Crop planning hierarchical | A2C | fixed_weather | seed=2 | profile=pakistan_baseline,crop_planning,A2C,86uvrua7,final_successful_runs\bundles\105_crop_planning_hierarchical_a2c_fixed_weather_seed_2_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
106,Crop planning | A2C | adaptive | random_weather | seed=2,crop_planning,A2C,xas1194l,final_successful_runs\bundles\106_crop_planning_a2c_adaptive_random_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
107,Crop planning | A2C | nonadaptive | random_weather | seed=2,crop_planning,A2C,c65cmc4u,final_successful_runs\bundles\107_crop_planning_a2c_nonadaptive_random_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
108,Crop planning hierarchical | A2C | random_weather | seed=2 | profile=pakistan_baseline,crop_planning,A2C,qkjzl6g4,final_successful_runs\bundles\108_crop_planning_hierarchical_a2c_random_weather_seed_2_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
113,Fertilization | Baseline only | end-year=2005,fertilization,PPO,wuqacesw,final_successful_runs\bundles\113_fertilization_baseline_only_end_year_2005,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,missing,missing,baseline_only_run_no_model_expected
