YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
2.095924        2.259549        0.025449        0.027436        0.000000        0.000000        0.224160            0.356401            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.326851    1.1162E-007 3.2216E-005 11.311675   1.256376    0.387280    0.040351    0.000000    0.177156    5.9702E-003 0.000000        3.3390E-003 4.4671E-005 0.000000    0.000000    -999
2       0.335028    2.1979E-004 1.1888E-003 11.219762   1.246689    0.310136    0.034741    0.000000    0.031597    2.7305E-004 0.000000        5.9553E-004 2.3284E-006 0.000000    0.000000    -999
3       0.335028    1.7205E-003 2.6617E-003 22.445684   2.494050    0.619631    0.069468    0.000000    0.069203    9.1469E-004 0.000000        1.3043E-003 9.0993E-006 0.000000    0.000000    -999
4       0.364607    3.3496E-003 1.8217E-003 7.716749    0.857405    0.304569    0.033702    0.000000    0.149514    8.5975E-003 0.000000        2.8180E-003 1.1949E-004 0.000000    0.000000    -999
5       0.364607    2.0540E-003 3.9926E-004 7.685172    0.853906    0.286797    0.031783    0.000000    0.102336    0.011784    0.000000        1.9288E-003 1.7016E-004 0.000000    0.000000    -999
6       0.451700    9.0241E-004 2.3399E-005 4.207679    0.467520    0.154258    0.017106    0.000000    0.090439    0.013992    0.000000        1.7046E-003 1.8277E-004 0.000000    0.000000    -999
7       0.466399    3.0161E-004 4.4531E-006 4.207336    0.467482    0.140984    0.015639    0.000000    0.050726    5.1075E-003 0.000000        9.5608E-004 5.8002E-005 0.000000    0.000000    -999
8       0.474409    7.9330E-005 2.2236E-006 4.207193    0.467466    0.135859    0.015077    0.000000    0.023337    2.3125E-003 0.000000        4.3985E-004 2.8713E-005 0.000000    0.000000    -999
9       0.479941    5.3062E-005 6.0889E-006 4.207179    0.467464    0.132964    0.014759    0.000000    8.4934E-003 4.0421E-004 0.000000        1.6008E-004 4.6142E-006 0.000000    0.000000    -999

