YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.946358        2.083168        0.021708        0.023234        0.000000        0.000000        0.209713            0.410784            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.325694    1.0616E-005 2.7564E-004 11.294342   1.254387    0.380261    0.039099    0.000000    0.164332    5.1956E-003 0.000000        2.8917E-003 3.7088E-005 0.000000    0.000000    -999
2       0.335028    4.5979E-004 1.1995E-003 11.211334   1.245739    0.310701    0.034687    0.000000    0.036624    3.0173E-004 0.000000        6.4445E-004 2.1888E-006 0.000000    0.000000    -999
3       0.335028    2.9663E-003 2.6173E-003 22.416272   2.490770    0.614017    0.068684    0.000000    0.059385    5.1991E-004 0.000000        1.0450E-003 3.8566E-006 0.000000    0.000000    -999
4       0.364607    4.1119E-003 1.5118E-003 7.712646    0.856920    0.300972    0.032990    0.000000    0.134006    3.2432E-003 0.000000        2.3580E-003 2.7354E-005 0.000000    0.000000    -999
5       0.364607    1.7895E-003 3.2524E-004 7.684963    0.853878    0.279477    0.030803    0.000000    0.095082    2.6832E-003 0.000000        1.6731E-003 2.4684E-005 0.000000    0.000000    -999
6       0.476714    4.6871E-004 1.7266E-005 4.208172    0.467574    0.154792    0.017083    0.000000    0.079205    3.9999E-003 0.000000        1.3937E-003 4.0819E-005 0.000000    0.000000    -999
7       0.479955    3.5128E-005 2.0377E-006 4.207510    0.467501    0.142167    0.015730    0.000000    0.041502    2.4006E-003 0.000000        7.3030E-004 2.6403E-005 0.000000    0.000000    -999
8       0.482935    8.1118E-010 1.6699E-007 4.207306    0.467478    0.136696    0.015144    0.000000    0.017630    9.4521E-004 0.000000        3.1023E-004 1.0803E-005 0.000000    0.000000    -999
9       0.486575    3.7372E-005 8.2423E-006 4.207204    0.467467    0.133417    0.014792    0.000000    5.5280E-003 1.9639E-004 0.000000        9.7275E-005 2.2116E-006 0.000000    0.000000    -999

