YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
0.799822        0.992279        0.015777        0.019574        0.000000        0.000000        0.613809            0.761516            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    2.6768E-004 4.0512E-003 11.610717   1.290781    0.411789    0.046569    0.000000    0.069446    1.6313E-003 0.000000        1.5906E-003 3.4795E-005 0.000000    0.000000    -999
2       0.335028    5.8169E-004 1.6706E-003 11.242553   1.249220    0.316259    0.035670    0.000000    0.058700    1.8960E-003 0.000000        1.3445E-003 4.1271E-005 0.000000    0.000000    -999
3       0.335028    2.7770E-003 2.8389E-003 22.471273   2.496893    0.622714    0.070228    0.000000    0.092021    3.0403E-003 0.000000        2.1077E-003 6.6359E-005 0.000000    0.000000    -999
4       0.364607    7.3619E-003 2.4152E-003 7.702420    0.855848    0.303976    0.034089    0.000000    0.154524    0.010236    0.000000        3.5393E-003 2.2877E-004 0.000000    0.000000    -999
5       0.364607    6.7066E-003 7.6655E-004 7.680034    0.853339    0.281408    0.031419    0.000000    0.103567    0.013765    0.000000        2.3722E-003 3.1376E-004 0.000000    0.000000    -999
6       0.468599    5.5147E-003 9.1351E-005 4.207419    0.467491    0.154477    0.017227    0.000000    0.072743    9.4121E-003 0.000000        1.6662E-003 2.1244E-004 0.000000    0.000000    -999
7       0.482779    3.2100E-003 3.7733E-005 4.207257    0.467473    0.141586    0.015766    0.000000    0.039868    2.6467E-003 0.000000        9.1316E-004 5.8133E-005 0.000000    0.000000    -999
8       0.483137    1.5036E-003 2.1156E-005 4.207285    0.467476    0.138645    0.015435    0.000000    0.011043    2.3411E-004 0.000000        2.5294E-004 5.1098E-006 0.000000    0.000000    -999
9       0.475788    7.2054E-004 3.3402E-005 4.207192    0.467466    0.132688    0.014760    0.000000    5.5765E-003 1.1941E-004 0.000000        1.2773E-004 2.6275E-006 0.000000    0.000000    -999

