YEAR    1980    DOY     365
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.363303        1.500276        0.016521        0.018180        0.000000        0.000000        0.144422            0.000000            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.329651    7.5847E-007 8.3538E-005 11.380246   1.263635    0.396285    0.040811    0.000000    0.121633    4.6832E-003 0.000000        2.1971E-003 5.1768E-005 0.000000    0.000000    -999
2       0.335028    2.6972E-004 1.1879E-003 11.245329   1.249511    0.312917    0.034997    0.000000    0.043020    7.8521E-004 0.000000        7.7711E-004 9.6828E-006 0.000000    0.000000    -999
3       0.335028    2.2402E-003 2.6230E-003 22.475459   2.497333    0.617177    0.069106    0.000000    0.067576    1.2881E-003 0.000000        1.2207E-003 1.5702E-005 0.000000    0.000000    -999
4       0.378813    4.3214E-003 1.2644E-003 7.711752    0.856840    0.295491    0.032597    0.000000    0.094118    2.8206E-003 0.000000        1.7001E-003 3.6572E-005 0.000000    0.000000    -999
5       0.380166    2.3781E-003 3.0671E-004 7.681808    0.853532    0.274506    0.030366    0.000000    0.093753    4.3778E-003 0.000000        1.6935E-003 5.5396E-005 0.000000    0.000000    -999
6       0.463495    8.5822E-004 2.3558E-005 4.207888    0.467543    0.154905    0.017124    0.000000    0.062471    2.9865E-003 0.000000        1.1285E-003 3.6649E-005 0.000000    0.000000    -999
7       0.457833    1.7084E-004 4.5701E-006 4.207265    0.467474    0.140343    0.015545    0.000000    0.036025    3.1851E-003 0.000000        6.5075E-004 3.6320E-005 0.000000    0.000000    -999
8       0.465148    2.5352E-005 2.2658E-006 4.207262    0.467474    0.135850    0.015056    0.000000    0.014131    5.1340E-004 0.000000        2.5526E-004 5.6780E-006 0.000000    0.000000    -999
9       0.472147    6.7168E-005 1.0163E-005 4.207190    0.467465    0.132296    0.014674    0.000000    4.8446E-003 1.1811E-004 0.000000        8.7511E-005 1.2713E-006 0.000000    0.000000    -999

