YEAR    2006    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
0.132907        0.150658        0.002253        0.002553        0.000000        0.000000        0.001094            0.001370            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.122981    9.9181E-03  5.9794E-04  19.828006   1.982801    0.019491    2.1325E-03  0.000000    0.012289    5.8459E-05  0.000000        2.7156E-04  8.6412E-07  0.000000    0.000000    -999
2       0.129338    0.022750    1.6624E-03  10.331108   1.033895    0.268058    0.030357    0.000000    1.8210E-03  1.9940E-06  0.000000        4.0239E-05  3.5388E-08  0.000000    0.000000    -999
3       0.206091    0.041124    4.3237E-03  19.892673   1.991165    0.509482    0.057851    0.000000    6.3159E-04  1.9626E-07  0.000000        1.3956E-05  3.7310E-09  0.000000    0.000000    -999
4       0.292542    0.037394    4.5007E-03  30.148624   3.017375    0.776218    0.087906    0.000000    8.2611E-04  3.6094E-07  0.000000        1.8255E-05  6.9694E-09  0.000000    0.000000    -999
5       0.319447    0.019988    2.6060E-03  22.326044   2.234242    0.580666    0.065415    0.000000    6.6886E-04  8.2924E-07  0.000000        1.4780E-05  1.5156E-08  0.000000    0.000000    -999
6       0.258852    6.4329E-03  7.3171E-04  13.359932   1.336470    0.364803    0.040777    0.000000    6.5909E-04  9.6264E-07  0.000000        1.4564E-05  1.5003E-08  0.000000    0.000000    -999
7       0.159124    1.6002E-03  1.5706E-04  13.375667   1.337834    0.370099    0.041261    0.000000    0.018841    9.5371E-04  0.000000        4.1634E-04  1.1816E-05  0.000000    0.000000    -999
8       0.193687    2.6122E-03  2.7644E-04  10.314688   1.031279    0.283102    0.031569    0.000000    2.7268E-04  1.2048E-07  0.000000        6.0256E-06  1.1012E-09  0.000000    0.000000    -999
9       0.249682    3.2995E-03  3.5152E-04  10.309410   1.030766    0.278006    0.031013    0.000000    3.6350E-05  3.0101E-09  0.000000        8.0324E-07  2.7196E-11  0.000000    0.000000    -999

