YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.141794        1.462144        0.022925        0.029357        0.000000        0.000000        0.207497            0.686567            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.328258    0.114180    0.367120    11.633235   1.293816    0.422089    0.048318    0.000000    0.096315    1.6921E-003 0.000000        2.2344E-003 4.1082E-005 0.000000    0.000000    -999
2       0.335028    0.096416    0.020216    11.254926   1.250581    0.316629    0.035704    0.000000    0.142770    6.2715E-003 0.000000        3.3121E-003 1.5294E-004 0.000000    0.000000    -999
3       0.335028    0.346343    0.027890    22.528933   2.503261    0.622069    0.069982    0.000000    0.251351    0.017099    0.000000        5.8311E-003 4.2055E-004 0.000000    0.000000    -999
4       0.364607    0.558086    5.5535E-003 7.683303    0.853710    0.308241    0.034706    0.000000    0.317788    0.070623    0.000000        7.3723E-003 1.7910E-003 0.000000    0.000000    -999
5       0.364607    0.241767    1.4732E-003 7.676847    0.852984    0.266886    0.029850    0.000000    0.193714    0.045940    0.000000        4.4939E-003 1.1604E-003 0.000000    0.000000    -999
6       0.383053    0.029466    1.9590E-004 4.207282    0.467476    0.149935    0.016743    0.000000    0.106067    0.020705    0.000000        2.4607E-003 5.2019E-004 0.000000    0.000000    -999
7       0.339293    1.2156E-003 9.4281E-005 4.207262    0.467474    0.143507    0.015999    0.000000    0.049565    4.5561E-003 0.000000        1.1499E-003 1.1347E-004 0.000000    0.000000    -999
8       0.375209    7.5616E-004 7.1414E-005 4.207323    0.467480    0.141117    0.015723    0.000000    0.013237    4.3502E-004 0.000000        3.0709E-004 1.0814E-005 0.000000    0.000000    -999
9       0.404443    8.2233E-004 7.3994E-005 4.207209    0.467468    0.134116    0.014925    0.000000    6.8046E-003 2.3350E-004 0.000000        1.5786E-004 5.8094E-006 0.000000    0.000000    -999

