num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
84,0,2006-08-05,2006,217,2,135.0,72.0,18.0,2981.739195,7740.0072,1014.8174999999999,11736.563895,-0.10980861634016037,False,,,"[0, 1, 0, 2, 9, 9, 3]"
85,0,2006-08-12,2006,224,2,0.0,32.0,54.0,0.0,3440.0032,3044.4525,6484.4557,-0.06004665046930313,False,,,"[1, 4, 3, 7, 0, 4, 9]"
86,0,2006-08-19,2006,231,2,105.0,24.0,6.0,2319.130485,2580.0024000000003,338.2725,5237.405385000001,-0.048029229044914246,False,,,"[1, 4, 7, 5, 7, 3, 1]"
87,0,2006-08-26,2006,238,2,120.0,16.0,18.0,2650.4348400000003,1720.0016,1014.8174999999999,5385.2539400000005,0.3952043056488037,False,,,"[0, 8, 0, 9, 8, 2, 3]"
88,0,2006-09-02,2006,245,2,120.0,56.0,54.0,2650.4348400000003,6020.0056,3044.4525,11714.89294,-0.10687914490699768,False,,,"[0, 7, 2, 4, 8, 7, 9]"
89,0,2006-09-09,2006,252,2,30.0,72.0,48.0,662.6087100000001,7740.0072,2706.18,11108.79591,-0.10098160803318024,False,,,"[1, 3, 3, 4, 2, 9, 8]"
90,0,2006-09-16,2006,259,2,45.0,72.0,42.0,993.9130650000001,7740.0072,2367.9075,11101.827765,-0.10048618167638779,False,,,"[0, 1, 9, 3, 3, 9, 7]"
91,0,2006-09-23,2006,266,2,60.0,8.0,42.0,1325.2174200000002,860.0008,2367.9075,4553.12572,-0.04104506969451904,False,,,"[1, 8, 1, 1, 4, 1, 7]"
92,0,2006-09-30,2006,273,2,45.0,72.0,54.0,993.9130650000001,7740.0072,3044.4525,11778.372765,-0.1056736558675766,False,,,"[0, 6, 3, 7, 3, 9, 9]"
93,0,2006-10-07,2006,280,2,0.0,48.0,60.0,0.0,5160.004800000001,3382.725,8542.729800000001,-0.07626023143529892,False,,,"[0, 2, 7, 6, 0, 6, 10]"
94,0,2006-10-14,2006,287,2,15.0,32.0,60.0,331.30435500000004,3440.0032,3382.725,7154.032555,-0.06354032456874847,False,,,"[0, 11, 6, 4, 1, 4, 10]"
95,0,2006-10-21,2006,294,2,45.0,56.0,12.0,993.9130650000001,6020.0056,676.545,7690.463665,-0.06795134395360947,False,,,"[0, 0, 0, 4, 3, 7, 2]"
96,0,2006-10-28,2006,301,2,135.0,8.0,6.0,2981.739195,860.0008,338.2725,4180.012495,-0.036755241453647614,False,,,"[1, 4, 2, 0, 9, 1, 1]"
97,0,2006-11-04,2006,308,2,60.0,72.0,36.0,1325.2174200000002,7740.0072,2029.6349999999998,11094.859620000001,-0.09703370183706284,False,,,"[0, 10, 4, 3, 4, 9, 6]"
98,0,2006-11-11,2006,315,2,90.0,0.0,6.0,1987.8261300000001,0.0,338.2725,2326.09863,-0.02024613879621029,False,,,"[0, 0, 1, 2, 6, 0, 1]"
99,0,2006-11-18,2006,322,2,135.0,40.0,18.0,2981.739195,4300.004,1014.8174999999999,8296.560695,-0.07185335457324982,False,,,"[0, 12, 3, 0, 9, 5, 3]"
100,0,2006-11-25,2006,329,2,150.0,56.0,36.0,3313.0435500000003,6020.0056,2029.6349999999998,11362.684150000001,-0.09786534309387207,False,,,"[0, 7, 6, 5, 10, 7, 6]"
