label,domain,method,adaptive,fixed_weather,seed,budget,planned,observed_runs,successful_runs,covered_successfully
Crop planning | PPO | adaptive | random_weather | seed=2,crop_planning,PPO,True,False,2,total_timesteps=500(default),1,0,0,no
Crop planning | PPO | nonadaptive | random_weather | seed=2,crop_planning,PPO,False,False,2,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | adaptive | fixed_weather | seed=0,crop_planning,A2C,True,True,0,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | nonadaptive | fixed_weather | seed=0,crop_planning,A2C,False,True,0,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | adaptive | random_weather | seed=0,crop_planning,A2C,True,False,0,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | nonadaptive | random_weather | seed=0,crop_planning,A2C,False,False,0,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | adaptive | fixed_weather | seed=1,crop_planning,A2C,True,True,1,total_timesteps=500(default),1,2,2,yes
Crop planning | A2C | nonadaptive | fixed_weather | seed=1,crop_planning,A2C,False,True,1,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | adaptive | random_weather | seed=1,crop_planning,A2C,True,False,1,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | nonadaptive | random_weather | seed=1,crop_planning,A2C,False,False,1,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | adaptive | fixed_weather | seed=2,crop_planning,A2C,True,True,2,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | nonadaptive | fixed_weather | seed=2,crop_planning,A2C,False,True,2,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | adaptive | random_weather | seed=2,crop_planning,A2C,True,False,2,total_timesteps=500(default),1,0,0,no
Crop planning | A2C | nonadaptive | random_weather | seed=2,crop_planning,A2C,False,False,2,total_timesteps=500(default),1,0,0,no
