index,status,exit_code,elapsed_seconds,label,domain,method,adaptive,hierarchical,fixed_weather,seed,budget,summary_json,deterministic_return,stochastic_return_mean,stochastic_return_std,baseline_best_return,uplift_vs_best_baseline_det,pak_holdout_return,command
91,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | fixed_weather | seed=0,crop_planning,A2C,True,False,True,0,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/091_crop_planning_a2c_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive False --seed 0 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/091_crop_planning_a2c_seed0_hFalse.json
92,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | fixed_weather | seed=0,crop_planning,A2C,False,False,True,0,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/092_crop_planning_a2c_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive True --seed 0 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/092_crop_planning_a2c_seed0_hFalse.json
94,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | random_weather | seed=0,crop_planning,A2C,True,False,False,0,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/094_crop_planning_a2c_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive False --seed 0 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/094_crop_planning_a2c_seed0_hFalse.json
95,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | random_weather | seed=0,crop_planning,A2C,False,False,False,0,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/095_crop_planning_a2c_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive True --seed 0 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/095_crop_planning_a2c_seed0_hFalse.json
97,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | fixed_weather | seed=1,crop_planning,A2C,True,False,True,1,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/097_crop_planning_a2c_seed1_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive False --seed 1 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/097_crop_planning_a2c_seed1_hFalse.json
98,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | fixed_weather | seed=1,crop_planning,A2C,False,False,True,1,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/098_crop_planning_a2c_seed1_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive True --seed 1 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/098_crop_planning_a2c_seed1_hFalse.json
100,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | random_weather | seed=1,crop_planning,A2C,True,False,False,1,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/100_crop_planning_a2c_seed1_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive False --seed 1 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/100_crop_planning_a2c_seed1_hFalse.json
101,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | random_weather | seed=1,crop_planning,A2C,False,False,False,1,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/101_crop_planning_a2c_seed1_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive True --seed 1 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/101_crop_planning_a2c_seed1_hFalse.json
103,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | fixed_weather | seed=2,crop_planning,A2C,True,False,True,2,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/103_crop_planning_a2c_seed2_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive False --seed 2 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/103_crop_planning_a2c_seed2_hFalse.json
104,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | fixed_weather | seed=2,crop_planning,A2C,False,False,True,2,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/104_crop_planning_a2c_seed2_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive True --seed 2 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/104_crop_planning_a2c_seed2_hFalse.json
106,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | random_weather | seed=2,crop_planning,A2C,True,False,False,2,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/106_crop_planning_a2c_seed2_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive False --seed 2 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/106_crop_planning_a2c_seed2_hFalse.json
107,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | random_weather | seed=2,crop_planning,A2C,False,False,False,2,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/107_crop_planning_a2c_seed2_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive True --seed 2 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/107_crop_planning_a2c_seed2_hFalse.json
109,DRY_RUN,0,0.0,Fertilization | DQN ablation | adaptive | fixed_weather | years=5000 | seed=0,fertilization,DQN,True,False,True,0,total_years=5000,runs/experiment_summaries/metrics_10_3_2026_non_hier/109_fertilization_dqn_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/fertilization/train.py --method DQN --total-years 5000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --fixed-weather --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/109_fertilization_dqn_seed0_hFalse.json
110,DRY_RUN,0,0.0,Fertilization | DQN ablation | adaptive | random_weather | years=5000 | seed=0,fertilization,DQN,True,False,False,0,total_years=5000,runs/experiment_summaries/metrics_10_3_2026_non_hier/110_fertilization_dqn_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/fertilization/train.py --method DQN --total-years 5000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/110_fertilization_dqn_seed0_hFalse.json
111,DRY_RUN,0,0.0,Crop planning | DQN ablation | nonadaptive | fixed_weather | seed=0,crop_planning,DQN,False,False,True,0,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/111_crop_planning_dqn_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method DQN --fixed_weather True --non_adaptive True --seed 0 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/111_crop_planning_dqn_seed0_hFalse.json
112,DRY_RUN,0,0.0,Crop planning | DQN ablation | nonadaptive | random_weather | seed=0,crop_planning,DQN,False,False,False,0,total_timesteps=500(default),runs/experiment_summaries/metrics_10_3_2026_non_hier/112_crop_planning_dqn_seed0_hFalse.json,,,,,,,/venv/main/bin/python experiments/crop_planning/train.py --method DQN --fixed_weather False --non_adaptive True --seed 0 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/112_crop_planning_dqn_seed0_hFalse.json
113,DRY_RUN,0,0.0,Fertilization | Baseline only | end-year=2005,fertilization,BASELINE,n/a,False,n/a,n/a,n/a,runs/experiment_summaries/metrics_10_3_2026_non_hier/113_fertilization_baseline_seedn_a_hFalse.json,,,,,,,/venv/main/bin/python experiments/fertilization/train.py --end-year 2005 --baseline --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --summary-json runs/experiment_summaries/metrics_10_3_2026_non_hier/113_fertilization_baseline_seedn_a_hFalse.json
