run_dir,run_id,domain,method,nonadaptive,fixed_weather,seed,total_years,total_timesteps,ent_coef,baseline,status,has_summary,fert_eval_test_det_mean_reward,fert_eval_test_sto_mean_reward,fert_deterministic_return,fert_stochastic_return_mean,fert_pak_holdout_return,crop_eval_det_mean_reward,crop_eval_sto_mean_reward,runtime_sec
run-20260224_024728-nihqzg3y,nihqzg3y,crop_planning,PPO,False,False,1,,500,0,False,ok,True,,,,,,17403.996,18872.559,939.0
run-20260224_030315-b9ectdnu,b9ectdnu,crop_planning,PPO,True,True,1,,500,0,False,ok,True,,,,,,18848.514,15704.614,907.0
run-20260224_031830-1ey5et2m,1ey5et2m,crop_planning,PPO,True,False,1,,500,0,False,ok,True,,,,,,18469.4,15674.016,922.0
run-20260224_033359-thi3mfte,thi3mfte,fertilization,A2C,false,false,0,5000,,0,false,failed_traceback,True,,,,,,,,288.0
run-20260224_033855-zdf5msiv,zdf5msiv,fertilization,DQN,false,false,0,5000,,0,false,failed_traceback,True,,,,,,,,341.0
run-20260224_034445-8ocpqsgt,8ocpqsgt,crop_planning,A2C,False,True,1,,500,0,False,ok,True,,,,,,21292.441,20636.96,927.0
run-20260224_040019-531e6m94,531e6m94,crop_planning,DQN,True,False,1,,500,,False,failed_traceback,True,,,,,,,,1.0
run-20260224_083626-5auy5345,5auy5345,fertilization,PPO,false,false,0,5000,,0,false,ok,True,1186.0851,1186.0851,1186.0850830078125,1186.0850830078125,1154.0494384765625,,,3737.0
run-20260224_093850-wntgpnn8,wntgpnn8,fertilization,PPO,true,false,0,5000,,0,false,ok,True,1186.0851,1174.181,1186.0850830078125,1186.0850830078125,1143.6334228515625,,,3250.0
run-20260224_103308-cqi3te61,cqi3te61,fertilization,PPO,true,false,0,5000,,0.01,false,ok,True,1186.0851,1172.693,1186.0850830078125,1058.116943359375,1045.42529296875,,,3571.0
run-20260224_113247-ofcmswkl,ofcmswkl,fertilization,PPO,false,false,0,25,,0,true,ok,True,,,,,,,,1519.0
run-20260224_115813-ryiikyh2,ryiikyh2,crop_planning,PPO,False,True,1,,500,0,False,ok,True,,,,,,21683.79,19436.912,939.0
run-20260224_121401-t7z41gpn,t7z41gpn,crop_planning,PPO,False,False,1,,500,0,False,ok,True,,,,,,17403.996,18872.559,944.0
run-20260224_122953-pn2y0yb8,pn2y0yb8,crop_planning,PPO,True,True,1,,500,0,False,ok,True,,,,,,18848.514,15704.614,910.0
run-20260224_124511-f6pjgtck,f6pjgtck,crop_planning,PPO,True,False,1,,500,0,False,ok,True,,,,,,18469.4,15674.016,905.0
run-20260224_130024-mllfu143,mllfu143,fertilization,A2C,false,false,0,5000,,0,false,ok,True,1186.0851,1186.0851,1186.0850830078125,1186.0850830078125,1052.1207275390625,,,3064.0
run-20260224_135136-sqm0c8y3,sqm0c8y3,fertilization,DQN,false,false,0,5000,,0,false,failed_traceback,True,1007.5251,964.37305,,,,,,3508.0
run-20260224_145013-g2qwi6fs,g2qwi6fs,crop_planning,A2C,False,True,1,,500,0,False,ok,True,,,,,,21292.441,20636.96,960.0
run-20260224_150621-yk2yycaq,yk2yycaq,crop_planning,DQN,True,False,1,,500,,False,ok,True,,,,,,19553.072,19553.072,890.0
