YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
0.527575        0.621734        0.011406        0.013441        0.000000        0.000000        0.404881            0.477145            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    1.7143E-004 3.5614E-003 11.558911   1.285361    0.398377    0.045564    0.000000    0.050632    9.0734E-004 0.000000        1.1742E-003 2.0107E-005 0.000000    0.000000    -999
2       0.335028    2.8812E-004 1.8277E-003 11.243481   1.249325    0.311392    0.035149    0.000000    0.035315    1.3230E-003 0.000000        8.1899E-004 2.9746E-005 0.000000    0.000000    -999
3       0.335330    1.7648E-003 3.4969E-003 22.515732   2.501806    0.624828    0.070353    0.000000    0.085888    9.5950E-003 0.000000        1.9918E-003 2.2049E-004 0.000000    0.000000    -999
4       0.423144    0.011984    3.5277E-003 7.696454    0.855187    0.300680    0.033844    0.000000    0.120694    0.017002    0.000000        2.7990E-003 3.9227E-004 0.000000    0.000000    -999
5       0.389804    0.019024    8.3478E-004 7.678110    0.853125    0.272981    0.030511    0.000000    0.092829    0.015598    0.000000        2.1528E-003 3.5337E-004 0.000000    0.000000    -999
6       0.494029    0.024693    1.2076E-004 4.207334    0.467482    0.151011    0.016854    0.000000    0.058957    9.1435E-003 0.000000        1.3673E-003 2.0340E-004 0.000000    0.000000    -999
7       0.498538    0.019431    4.7027E-005 4.207190    0.467466    0.137053    0.015259    0.000000    0.037302    3.9111E-003 0.000000        8.6505E-004 8.4480E-005 0.000000    0.000000    -999
8       0.502823    0.011779    3.3684E-005 4.207175    0.467464    0.133078    0.014806    0.000000    0.017509    7.0045E-004 0.000000        4.0606E-004 1.5104E-005 0.000000    0.000000    -999
9       0.506756    5.8124E-003 3.4270E-005 4.207149    0.467461    0.130067    0.014464    0.000000    8.1370E-003 2.6546E-004 0.000000        1.8870E-004 5.7239E-006 0.000000    0.000000    -999

