YEAR    1980    DOY     365
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.618283        1.713912        0.031781        0.033659        0.000000        0.000000        0.738142            1.315327            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    5.2039E-003 0.024260    11.316492   1.257485    0.416717    0.046885    0.000000    0.142577    7.2079E-003 0.000000        3.3061E-003 1.6179E-004 0.000000    0.000000    -999
2       0.335028    6.1891E-003 2.2792E-003 11.265877   1.251801    0.315436    0.035491    0.000000    0.046208    1.9148E-003 0.000000        1.0715E-003 4.4424E-005 0.000000    0.000000    -999
3       0.355089    9.4325E-003 3.4854E-003 22.499905   2.500068    0.620398    0.069959    0.000000    0.072852    2.4778E-003 0.000000        1.6893E-003 5.6828E-005 0.000000    0.000000    -999
4       0.400739    0.028315    4.3371E-003 7.709041    0.856610    0.297112    0.033545    0.000000    0.097841    5.9506E-003 0.000000        2.2688E-003 1.3770E-004 0.000000    0.000000    -999
5       0.402448    0.024757    5.8307E-004 7.677623    0.853070    0.272476    0.030429    0.000000    0.111907    0.023111    0.000000        2.5949E-003 5.3483E-004 0.000000    0.000000    -999
6       0.479820    0.012709    6.6623E-005 4.207311    0.467479    0.151048    0.016851    0.000000    0.066749    0.012507    0.000000        1.5478E-003 2.8632E-004 0.000000    0.000000    -999
7       0.455342    3.3757E-003 3.8468E-005 4.207218    0.467469    0.139920    0.015583    0.000000    0.036147    3.9604E-003 0.000000        8.3818E-004 8.8686E-005 0.000000    0.000000    -999
8       0.436591    5.7515E-004 2.4706E-005 4.207246    0.467472    0.137093    0.015262    0.000000    0.011076    3.3041E-004 0.000000        2.5684E-004 7.3012E-006 0.000000    0.000000    -999
9       0.391026    3.6244E-004 3.4661E-005 4.207189    0.467465    0.132209    0.014707    0.000000    4.6860E-003 1.0235E-004 0.000000        1.0866E-004 2.2535E-006 0.000000    0.000000    -999

