YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
2.200338        2.299393        0.029604        0.030937        0.000000        0.000000        1.253141            1.764650            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    5.4707E-008 1.8665E-005 11.261163   1.251167    0.374305    0.040391    0.000000    0.176390    6.8367E-003 0.000000        3.6270E-003 5.4244E-005 0.000000    0.000000    -999
2       0.335028    6.3552E-004 1.2249E-003 11.208108   1.245401    0.311602    0.035011    0.000000    0.041119    4.2922E-004 0.000000        8.4550E-004 3.4699E-006 0.000000    0.000000    -999
3       0.335028    3.5729E-003 2.5958E-003 22.411159   2.490230    0.614590    0.069101    0.000000    0.063161    6.5723E-004 0.000000        1.2987E-003 5.4849E-006 0.000000    0.000000    -999
4       0.364607    3.6425E-003 1.6149E-003 7.714140    0.857130    0.299421    0.033268    0.000000    0.119858    2.5169E-003 0.000000        2.4645E-003 2.4870E-005 0.000000    0.000000    -999
5       0.364607    1.3819E-003 4.5599E-004 7.687250    0.854140    0.281930    0.031331    0.000000    0.072828    1.7664E-003 0.000000        1.4975E-003 1.9331E-005 0.000000    0.000000    -999
6       0.437857    9.6922E-005 2.3609E-005 4.208416    0.467602    0.162074    0.018007    0.000000    0.060032    2.6134E-003 0.000000        1.2344E-003 3.2203E-005 0.000000    0.000000    -999
7       0.437857    6.3431E-010 1.4147E-007 4.207512    0.467501    0.144669    0.016074    0.000000    0.034706    1.9175E-003 0.000000        7.1363E-004 2.5576E-005 0.000000    0.000000    -999
8       0.447439    9.9663E-010 1.4471E-007 4.207285    0.467476    0.138001    0.015334    0.000000    0.014384    7.0591E-004 0.000000        2.9576E-004 9.9113E-006 0.000000    0.000000    -999
9       0.461324    4.6727E-005 1.2031E-005 4.207184    0.467465    0.132745    0.014749    0.000000    6.8442E-003 3.3013E-004 0.000000        1.4073E-004 4.7072E-006 0.000000    0.000000    -999

