YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.173409        1.266207        0.023067        0.024892        0.000000        0.000000        0.900521            0.971740            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    1.0687E-005 5.8160E-004 11.344255   1.260591    0.410793    0.045886    0.000000    0.113156    4.6385E-003 0.000000        2.5363E-003 8.1056E-005 0.000000    0.000000    -999
2       0.335028    6.6849E-005 1.0864E-003 11.243092   1.249275    0.311209    0.035021    0.000000    0.034693    1.2761E-003 0.000000        7.7760E-004 2.4056E-005 0.000000    0.000000    -999
3       0.335330    7.0675E-004 2.9358E-003 22.515417   2.501771    0.624732    0.070298    0.000000    0.085272    9.4572E-003 0.000000        1.9113E-003 1.8954E-004 0.000000    0.000000    -999
4       0.423965    5.9405E-003 3.0560E-003 7.696507    0.855189    0.300658    0.033765    0.000000    0.120485    0.016944    0.000000        2.7005E-003 3.4300E-004 0.000000    0.000000    -999
5       0.390665    0.010574    7.7990E-004 7.678096    0.853123    0.272926    0.030457    0.000000    0.093010    0.015660    0.000000        2.0847E-003 3.0137E-004 0.000000    0.000000    -999
6       0.494427    0.015034    1.1047E-004 4.207330    0.467481    0.150840    0.016812    0.000000    0.059303    9.2523E-003 0.000000        1.3292E-003 1.6808E-004 0.000000    0.000000    -999
7       0.498745    0.012651    3.9641E-005 4.207190    0.467466    0.137083    0.015252    0.000000    0.037240    3.8980E-003 0.000000        8.3468E-004 6.4722E-005 0.000000    0.000000    -999
8       0.502912    8.0969E-003 2.3426E-005 4.207174    0.467464    0.133022    0.014792    0.000000    0.017637    7.1071E-004 0.000000        3.9531E-004 1.0913E-005 0.000000    0.000000    -999
9       0.506793    4.1818E-003 2.3498E-005 4.207149    0.467461    0.130028    0.014454    0.000000    8.2310E-003 2.7165E-004 0.000000        1.8449E-004 4.1885E-006 0.000000    0.000000    -999

