YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.807699        1.987670        0.034134        0.037533        0.000000        0.000000        0.309579            0.471376            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.323841    4.5920E-006 3.2496E-004 11.338647   1.259969    0.417736    0.046490    0.000000    0.151836    4.7755E-003 0.000000        3.5215E-003 8.1538E-005 0.000000    0.000000    -999
2       0.335028    1.8668E-004 1.3048E-003 11.230992   1.247949    0.313990    0.035424    0.000000    0.042669    1.1756E-003 0.000000        9.8961E-004 2.3264E-005 0.000000    0.000000    -999
3       0.335028    2.5843E-003 2.7531E-003 22.467964   2.496539    0.622376    0.070178    0.000000    0.074495    2.7203E-003 0.000000        1.7277E-003 5.5824E-005 0.000000    0.000000    -999
4       0.364607    0.012237    3.1785E-003 7.714790    0.857261    0.302139    0.034122    0.000000    0.127515    9.2065E-003 0.000000        2.9574E-003 2.0133E-004 0.000000    0.000000    -999
5       0.364607    0.013066    1.5976E-003 7.686187    0.854030    0.286960    0.032140    0.000000    0.078203    6.3075E-003 0.000000        1.8137E-003 1.3806E-004 0.000000    0.000000    -999
6       0.479772    0.010161    2.9110E-004 4.208610    0.467624    0.168038    0.018790    0.000000    0.048988    3.3531E-003 0.000000        1.1362E-003 7.0512E-005 0.000000    0.000000    -999
7       0.491889    4.2353E-003 6.2924E-005 4.207503    0.467500    0.149436    0.016666    0.000000    0.026518    9.7355E-004 0.000000        6.1502E-004 1.9243E-005 0.000000    0.000000    -999
8       0.497572    1.1929E-003 2.0299E-005 4.207363    0.467485    0.140614    0.015662    0.000000    9.0668E-003 1.7081E-004 0.000000        2.1028E-004 3.3718E-006 0.000000    0.000000    -999
9       0.498904    4.8647E-004 3.1650E-005 4.207220    0.467469    0.133728    0.014880    0.000000    4.8477E-003 9.8592E-005 0.000000        1.1243E-004 1.9783E-006 0.000000    0.000000    -999

