YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.141794        1.462144        0.023002        0.029456        0.000000        0.000000        0.207497            0.686567            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.328258    0.170431    0.539084    11.633235   1.293824    0.422089    0.048329    0.000000    0.096315    1.6921E-003 0.000000        2.2344E-003 4.1139E-005 0.000000    0.000000    -999
2       0.335028    0.170890    0.033983    11.254926   1.250581    0.316629    0.035704    0.000000    0.142770    6.2715E-003 0.000000        3.3121E-003 1.5317E-004 0.000000    0.000000    -999
3       0.335028    0.671048    0.036060    22.528933   2.503262    0.622069    0.069983    0.000000    0.251351    0.017099    0.000000        5.8311E-003 4.2131E-004 0.000000    0.000000    -999
4       0.364607    1.055822    7.0229E-003 7.683303    0.853710    0.308241    0.034708    0.000000    0.317788    0.070623    0.000000        7.3723E-003 1.7962E-003 0.000000    0.000000    -999
5       0.364607    0.478513    1.6202E-003 7.676847    0.852984    0.266886    0.029863    0.000000    0.193714    0.045940    0.000000        4.4939E-003 1.1635E-003 0.000000    0.000000    -999
6       0.383053    0.073608    6.9023E-004 4.207282    0.467476    0.149935    0.016765    0.000000    0.106067    0.020705    0.000000        2.4607E-003 5.2139E-004 0.000000    0.000000    -999
7       0.339293    1.9018E-003 1.4386E-004 4.207262    0.467474    0.143507    0.016000    0.000000    0.049565    4.5561E-003 0.000000        1.1499E-003 1.1367E-004 0.000000    0.000000    -999
8       0.375209    1.0430E-003 9.3846E-005 4.207323    0.467480    0.141117    0.015723    0.000000    0.013237    4.3502E-004 0.000000        3.0709E-004 1.0833E-005 0.000000    0.000000    -999
9       0.404443    9.6311E-004 8.4880E-005 4.207209    0.467468    0.134116    0.014926    0.000000    6.8046E-003 2.3350E-004 0.000000        1.5786E-004 5.8207E-006 0.000000    0.000000    -999

