index,status,exit_code,elapsed_seconds,label,domain,method,adaptive,hierarchical,fixed_weather,seed,budget,summary_json,deterministic_return,stochastic_return_mean,stochastic_return_std,baseline_best_return,uplift_vs_best_baseline_det,pak_holdout_return,command
76,OK,0,902.625,Crop planning | PPO | adaptive | random_weather | seed=0,crop_planning,PPO,True,False,False,0,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/076_crop_planning_ppo_seed0_hFalse.json,13315.9296875,16544.93359375,1197.789306640625,20921.216796875,-7605.287109375,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive False --seed 0 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/076_crop_planning_ppo_seed0_hFalse.json
77,OK,0,860.209,Crop planning | PPO | nonadaptive | random_weather | seed=0,crop_planning,PPO,False,False,False,0,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/077_crop_planning_ppo_seed0_hFalse.json,12292.115234375,17049.357421875,596.4776611328125,20921.216796875,-8629.1015625,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive True --seed 0 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/077_crop_planning_ppo_seed0_hFalse.json
79,OK,0,901.488,Crop planning | PPO | adaptive | fixed_weather | seed=1,crop_planning,PPO,True,False,True,1,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/079_crop_planning_ppo_seed1_hFalse.json,16337.63671875,16450.734375,1698.2105712890625,20593.30859375,-4255.671875,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather True --non_adaptive False --seed 1 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/079_crop_planning_ppo_seed1_hFalse.json
80,OK,0,879.023,Crop planning | PPO | nonadaptive | fixed_weather | seed=1,crop_planning,PPO,False,False,True,1,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/080_crop_planning_ppo_seed1_hFalse.json,14714.7373046875,15316.9873046875,2270.16357421875,20593.30859375,-5878.5712890625,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather True --non_adaptive True --seed 1 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/080_crop_planning_ppo_seed1_hFalse.json
82,OK,0,901.540,Crop planning | PPO | adaptive | random_weather | seed=1,crop_planning,PPO,True,False,False,1,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/082_crop_planning_ppo_seed1_hFalse.json,18675.361328125,16689.8671875,2075.055419921875,20355.875,-1680.513671875,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive False --seed 1 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/082_crop_planning_ppo_seed1_hFalse.json
83,OK,0,881.166,Crop planning | PPO | nonadaptive | random_weather | seed=1,crop_planning,PPO,False,False,False,1,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/083_crop_planning_ppo_seed1_hFalse.json,14069.8115234375,15239.876953125,2367.82373046875,20355.875,-6286.0634765625,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive True --seed 1 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/083_crop_planning_ppo_seed1_hFalse.json
85,OK,0,885.997,Crop planning | PPO | adaptive | fixed_weather | seed=2,crop_planning,PPO,True,False,True,2,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/085_crop_planning_ppo_seed2_hFalse.json,22586.693359375,15791.869140625,884.9583129882812,20593.30859375,1993.384765625,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather True --non_adaptive False --seed 2 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/085_crop_planning_ppo_seed2_hFalse.json
86,OK,0,853.593,Crop planning | PPO | nonadaptive | fixed_weather | seed=2,crop_planning,PPO,False,False,True,2,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/086_crop_planning_ppo_seed2_hFalse.json,10715.5185546875,15766.4609375,1492.5142822265625,20593.30859375,-9877.7900390625,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather True --non_adaptive True --seed 2 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/086_crop_planning_ppo_seed2_hFalse.json
88,OK,0,885.943,Crop planning | PPO | adaptive | random_weather | seed=2,crop_planning,PPO,True,False,False,2,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/088_crop_planning_ppo_seed2_hFalse.json,20470.8046875,15923.2529296875,781.6670532226562,20487.361328125,-16.556640625,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive False --seed 2 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/088_crop_planning_ppo_seed2_hFalse.json
89,OK,0,854.097,Crop planning | PPO | nonadaptive | random_weather | seed=2,crop_planning,PPO,False,False,False,2,total_timesteps=500(default),runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/089_crop_planning_ppo_seed2_hFalse.json,10991.7509765625,15630.1904296875,1528.2744140625,20487.361328125,-9495.6103515625,,/venv/main/bin/python experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive True --seed 2 --summary-json runs/experiment_summaries/non_hier_10_3_2026_20260309_193918/metrics/089_crop_planning_ppo_seed2_hFalse.json
