num_timesteps,env_index,date,operation_year,crop_name,crop_index,plant_doy,plant_end_doy,plant_max_smc,window_start_doy,window_end_doy,window_compliant
1,0,2005-01-01,1,SoybeanMG.3,1,90,104,0.8,,,
54,0,2006-01-07,2,SoybeanMG.3,1,153,216,0.5,,,
106,0,2007-01-06,3,SoybeanMG.3,1,174,195,0.4,,,
158,0,2008-01-05,4,SoybeanMG.3,1,167,195,0.8,,,
210,0,2009-01-03,5,CornRM.100,0,180,196,1.0,166,196,True
262,0,2010-01-02,6,SoybeanMG.3,1,97,125,0.1,,,
314,0,2011-01-01,7,SoybeanMG.3,1,104,125,0.2,,,
367,0,2012-01-07,8,SoybeanMG.3,1,104,132,0.5,,,
419,0,2013-01-05,9,SoybeanMG.3,1,153,195,1.0,,,
471,0,2014-01-04,10,SoybeanMG.3,1,146,181,0.6,,,
523,0,2015-01-03,11,SoybeanMG.3,1,104,132,0.6,,,
