YEAR    1980    DOY     365
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
0.525569        0.662591        0.011166        0.014077        0.000000        0.000000        0.403344            0.508500            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    3.7742E-004 5.1759E-003 11.669306   1.297906    0.402489    0.046165    0.000000    0.047278    6.9524E-004 0.000000        1.0972E-003 1.7318E-005 0.000000    0.000000    -999
2       0.335028    5.9051E-004 2.7643E-003 11.251699   1.250248    0.311153    0.035162    0.000000    0.030399    1.0078E-003 0.000000        7.0547E-004 2.5422E-005 0.000000    0.000000    -999
3       0.335028    3.1670E-003 5.1065E-003 22.525645   2.502917    0.628721    0.070847    0.000000    0.089594    8.1596E-003 0.000000        2.0792E-003 2.0609E-004 0.000000    0.000000    -999
4       0.383840    0.024612    5.9544E-003 7.691320    0.854613    0.307094    0.034623    0.000000    0.187616    0.034393    0.000000        4.3540E-003 8.7160E-004 0.000000    0.000000    -999
5       0.379157    0.045665    2.2251E-003 7.677651    0.853074    0.273161    0.030593    0.000000    0.125005    0.024855    0.000000        2.9010E-003 6.2841E-004 0.000000    0.000000    -999
6       0.484823    0.072663    7.9177E-004 4.207328    0.467481    0.151827    0.016991    0.000000    0.073062    0.012050    0.000000        1.6955E-003 3.0380E-004 0.000000    0.000000    -999
7       0.488055    0.070513    4.9515E-004 4.207193    0.467466    0.137145    0.015286    0.000000    0.046094    5.0726E-003 0.000000        1.0697E-003 1.2694E-004 0.000000    0.000000    -999
8       0.491299    0.052452    3.2586E-004 4.207261    0.467473    0.137821    0.015350    0.000000    0.011747    2.9482E-004 0.000000        2.7262E-004 7.3182E-006 0.000000    0.000000    -999
9       0.494412    0.031137    2.1608E-004 4.207203    0.467467    0.132803    0.014777    0.000000    4.7969E-003 8.8781E-005 0.000000        1.1132E-004 2.2047E-006 0.000000    0.000000    -999

