YEAR    1980    DOY     365
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.141794        1.462144        0.022969        0.029414        0.000000        0.000000        0.207497            0.686567            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.328258    0.133145    0.411072    11.633235   1.293820    0.422089    0.048324    0.000000    0.096315    1.6921E-003 0.000000        2.2344E-003 4.1113E-005 0.000000    0.000000    -999
2       0.335028    0.128894    0.025931    11.254926   1.250581    0.316629    0.035704    0.000000    0.142770    6.2715E-003 0.000000        3.3121E-003 1.5306E-004 0.000000    0.000000    -999
3       0.335028    0.579423    0.032528    22.528933   2.503261    0.622069    0.069983    0.000000    0.251351    0.017099    0.000000        5.8311E-003 4.2099E-004 0.000000    0.000000    -999
4       0.364607    0.935956    6.1512E-003 7.683303    0.853710    0.308241    0.034707    0.000000    0.317788    0.070623    0.000000        7.3723E-003 1.7942E-003 0.000000    0.000000    -999
5       0.364607    0.400503    1.5367E-003 7.676847    0.852984    0.266886    0.029858    0.000000    0.193714    0.045940    0.000000        4.4939E-003 1.1624E-003 0.000000    0.000000    -999
6       0.383053    0.049245    3.4307E-004 4.207282    0.467476    0.149935    0.016747    0.000000    0.106067    0.020705    0.000000        2.4607E-003 5.2098E-004 0.000000    0.000000    -999
7       0.339293    1.3552E-003 1.0440E-004 4.207262    0.467474    0.143507    0.015999    0.000000    0.049565    4.5561E-003 0.000000        1.1499E-003 1.1361E-004 0.000000    0.000000    -999
8       0.375209    8.1994E-004 7.6469E-005 4.207323    0.467480    0.141117    0.015723    0.000000    0.013237    4.3502E-004 0.000000        3.0709E-004 1.0826E-005 0.000000    0.000000    -999
9       0.404443    8.6015E-004 7.6937E-005 4.207209    0.467468    0.134116    0.014926    0.000000    6.8046E-003 2.3350E-004 0.000000        1.5786E-004 5.8166E-006 0.000000    0.000000    -999

