YEAR   	FERTILIZATION  	AUTO ADDED     	FIXATION       	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     	DENITRIFICATION	NITRIFICATION  	VOLATILIZATION 	N2O EMISSION   	N IN HARVEST   
YYYY   	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
1992	150.000000     	0.000000       	0.000000       	0.507826       	0.004912       	0.000000       	0.000000       	6.134600       	203.305528     	13.146862      	1.232873       	122.819982     
1993	150.000000     	0.000000       	0.000000       	0.536513       	0.008921       	0.000000       	0.000000       	9.949724       	228.079724     	4.225049       	1.167275       	105.381376     
1994	150.000000     	0.000000       	0.000000       	1.829698       	0.011870       	0.000000       	0.000000       	10.862404      	234.541953     	7.422171       	1.344825       	121.915275     
1995	150.000000     	0.000000       	0.000000       	0.452916       	0.008498       	0.000000       	0.000000       	12.662899      	213.598687     	7.235789       	1.534629       	115.499755     
1996	150.000000     	0.000000       	0.000000       	1.723526       	0.023805       	0.000000       	0.000000       	15.482031      	228.452038     	6.477962       	1.674375       	116.098445     
1997	150.000000     	0.000000       	0.000000       	1.170716       	0.013326       	0.000000       	0.000000       	11.456015      	224.219743     	6.457377       	1.464929       	120.428646     
1998	150.000000     	0.000000       	0.000000       	1.163823       	0.017529       	0.000000       	0.000000       	12.489107      	250.329213     	6.137623       	1.458331       	120.533250     
1999	150.000000     	0.000000       	0.000000       	0.769456       	0.008301       	0.000000       	0.000000       	7.590718       	233.593426     	10.781514      	1.111188       	122.045823     
2000	150.000000     	0.000000       	0.000000       	0.872884       	0.009856       	0.000000       	0.000000       	10.658250      	222.582698     	11.152638      	1.446356       	129.066745     
2001	150.000000     	0.000000       	0.000000       	0.212021       	0.005551       	0.000000       	0.000000       	10.970260      	238.411965     	7.786306       	1.302699       	118.048000     
2002	150.000000     	0.000000       	0.000000       	0.677309       	0.008800       	0.000000       	0.000000       	12.376083      	215.420012     	12.248726      	1.576658       	117.283946     
2003	150.000000     	0.000000       	0.000000       	2.139749       	0.020027       	0.000000       	0.000000       	17.736767      	242.824867     	9.627832       	1.953367       	123.193053     
2004	150.000000     	0.000000       	0.000000       	2.859301       	0.023821       	0.000000       	0.000000       	14.720944      	251.837605     	9.907255       	1.819405       	127.334635     
2005	150.000000     	0.000000       	0.000000       	2.080510       	0.015410       	0.000000       	0.000000       	8.078359       	215.792947     	11.698656      	1.287497       	128.637805     
2006	150.000000     	0.000000       	0.000000       	0.585270       	0.009707       	0.000000       	0.000000       	13.193813      	250.756460     	8.699783       	1.613396       	126.237545     
2007	150.000000     	0.000000       	0.000000       	0.624816       	0.008399       	0.000000       	0.000000       	9.643475       	249.705141     	11.964309      	1.274770       	128.899460     
2008	150.000000     	0.000000       	0.000000       	4.581691       	0.014839       	0.000000       	0.000000       	10.216709      	225.071373     	10.574313      	1.263944       	126.689276     
2009	150.000000     	0.000000       	0.000000       	0.830306       	0.010320       	0.000000       	0.000000       	13.510466      	249.273115     	9.107149       	1.727597       	129.344605     
2010	150.000000     	0.000000       	0.000000       	1.209124       	0.012583       	0.000000       	0.000000       	8.368310       	228.004321     	11.150367      	1.374598       	129.001271     
2011	150.000000     	0.000000       	0.000000       	3.190607       	0.022604       	0.000000       	0.000000       	16.836167      	251.089494     	11.142013      	1.759036       	118.245404     
2012	150.000000     	0.000000       	0.000000       	1.491523       	0.010991       	0.000000       	0.000000       	9.941848       	230.501388     	14.250992      	1.468395       	128.789147     
2013	150.000000     	0.000000       	0.000000       	0.650344       	0.008370       	0.000000       	0.000000       	9.826858       	222.236222     	13.462489      	1.439686       	129.812426     
2014	150.000000     	0.000000       	0.000000       	0.527172       	0.007769       	0.000000       	0.000000       	11.041658      	248.643387     	9.429647       	1.485897       	129.623847     
2015	150.000000     	0.000000       	0.000000       	0.173402       	0.004243       	0.000000       	0.000000       	12.140681      	247.753030     	11.868468      	1.253305       	128.773750     
2016	150.000000     	0.000000       	0.000000       	0.251306       	0.004372       	0.000000       	0.000000       	8.711364       	227.137023     	14.384642      	1.438832       	118.350517     
