DATE      	CROP                	PLANT_DATE	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	IRRIGATION     	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 	N FIXATION     	N ADDED        
YYYY-MM-DD	-                   	YYYY-MM-DD	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              	kg/ha          	kg/ha          
1980-09-08	CornRM.90           	1980-04-19	26.506895      	3.715011       	11.201687      	0.000000       	11.590197      	0.491477       	353.302425     	348.334713     	174.541545     	0.000000       	0.202952       	0.025820       	0.124166       	0.000000       	0.090705       	124.166317     	78.785648      	0.000000       	0.000000       	0.000000       
1981-09-16	CornRM.90           	1981-04-20	20.585148      	3.080053       	8.134714       	0.000000       	9.370381       	0.464706       	342.153318     	339.085725     	45.237409      	0.000000       	0.141037       	0.016607       	0.084662       	0.000000       	0.241017       	84.661555      	56.375560      	0.000000       	0.000000       	0.000000       
1982-08-29	CornRM.90           	1982-04-20	20.744652      	3.157439       	8.151220       	0.000000       	9.435993       	0.463474       	301.977189     	302.593868     	49.897292      	0.000000       	0.151739       	0.018574       	0.090472       	0.000000       	0.147760       	90.471524      	61.267928      	0.000000       	0.000000       	0.000000       
1983-09-10	CornRM.90           	1983-04-20	21.667686      	3.206133       	8.533465       	0.000000       	9.928088       	0.462229       	347.402568     	307.562149     	80.434986      	0.000000       	0.159785       	0.019728       	0.095012       	0.000000       	0.169757       	95.011631      	64.773422      	0.000000       	0.000000       	0.000000       
1984-09-20	CornRM.90           	1984-04-19	22.402821      	3.231044       	9.104964       	0.000000       	10.066813      	0.474915       	325.871796     	326.034697     	64.072951      	0.000000       	0.159105       	0.019074       	0.096410       	0.000000       	0.202623       	96.410280      	62.694541      	0.000000       	0.000000       	0.000000       
1985-09-10	CornRM.90           	1985-04-20	23.247902      	3.605910       	9.095831       	0.000000       	10.546162      	0.463081       	343.742668     	330.749452     	63.290399      	0.000000       	0.164371       	0.021710       	0.096878       	0.000000       	0.195544       	96.877600      	67.493525      	0.000000       	0.000000       	0.000000       
1986-09-12	CornRM.90           	1986-04-20	23.228493      	3.298796       	9.512404       	0.000000       	10.417293      	0.477298       	340.016326     	340.134963     	61.548120      	0.000000       	0.167795       	0.020029       	0.102009       	0.000000       	0.171858       	102.009027     	65.786170      	0.000000       	0.000000       	0.000000       
1987-09-06	CornRM.90           	1987-04-20	23.117809      	3.186569       	9.989480       	0.000000       	9.941760       	0.501197       	349.774533     	348.060612     	66.477004      	0.000000       	0.167823       	0.019812       	0.104785       	0.000000       	0.162976       	104.784572     	63.038666      	0.000000       	0.000000       	0.000000       
1988-09-14	CornRM.90           	1988-04-19	21.539196      	3.120751       	9.309103       	0.000000       	9.109342       	0.505423       	399.000268     	315.961431     	92.719764      	0.000000       	0.165328       	0.020291       	0.103107       	0.000000       	0.054852       	103.107179     	62.220952      	0.000000       	0.000000       	0.000000       
1989-09-13	CornRM.90           	1989-04-20	23.181115      	3.055525       	9.981280       	0.000000       	10.144310      	0.495950       	328.669075     	324.660091     	85.665231      	0.000000       	0.175593       	0.019834       	0.109689       	0.000000       	0.127163       	109.688888     	65.904146      	0.000000       	0.000000       	0.000000       
1990-09-10	CornRM.90           	1990-04-20	24.248273      	3.380946       	10.312179      	0.000000       	10.555147      	0.494178       	331.985584     	334.669947     	89.244593      	0.000000       	0.182695       	0.021938       	0.113004       	0.000000       	0.139208       	113.003620     	69.691576      	0.000000       	0.000000       	0.000000       
1991-08-29	CornRM.90           	1991-04-20	17.739403      	2.489874       	7.687633       	0.000000       	7.561896       	0.504123       	276.169330     	237.463774     	110.197386     	0.000000       	0.173293       	0.017264       	0.110780       	0.000000       	0.048799       	110.780485     	62.512426      	0.000000       	0.000000       	0.000000       
1992-09-21	CornRM.90           	1992-04-19	26.485323      	3.653149       	11.514760      	0.000000       	11.317414      	0.504322       	353.927934     	356.477690     	133.404146     	0.000000       	0.197803       	0.024851       	0.122820       	0.000000       	0.114358       	122.819982     	74.983085      	0.000000       	0.000000       	0.000000       
1993-09-09	CornRM.90           	1993-04-20	22.764080      	3.309089       	9.275298       	0.000000       	10.179693      	0.476757       	340.726974     	305.973765     	63.015690      	0.000000       	0.174567       	0.021823       	0.105381       	0.000000       	0.117798       	105.381376     	69.185250      	0.000000       	0.000000       	0.000000       
1994-09-16	CornRM.90           	1994-04-20	25.350392      	3.257813       	11.266073      	0.000000       	10.826506      	0.509948       	330.096183     	333.896483     	97.568877      	0.000000       	0.192839       	0.022092       	0.121915       	0.000000       	0.101966       	121.915275     	70.923513      	0.000000       	0.000000       	0.000000       
1995-09-11	CornRM.90           	1995-04-20	22.886979      	3.263696       	9.481195       	0.000000       	10.142088      	0.483160       	351.085538     	298.465276     	94.505168      	0.000000       	0.189067       	0.022835       	0.115500       	0.000000       	0.079797       	115.499755     	73.566982      	0.000000       	0.000000       	0.000000       
1996-09-15	CornRM.90           	1996-04-19	25.361184      	3.492747       	10.842574      	0.000000       	11.025863      	0.495809       	339.121525     	339.291860     	88.198932      	0.000000       	0.187185       	0.022301       	0.116098       	0.000000       	0.144948       	116.098445     	71.086738      	0.000000       	0.000000       	0.000000       
1997-09-29	CornRM.90           	1997-04-20	25.388239      	3.402154       	11.093829      	0.000000       	10.892255      	0.504584       	348.271965     	350.651218     	90.598328      	0.000000       	0.192137       	0.022596       	0.120429       	0.000000       	0.112071       	120.428646     	71.708447      	0.000000       	0.000000       	0.000000       
1998-09-07	CornRM.90           	1998-04-20	25.669140      	3.508983       	10.981685      	0.000000       	11.178471      	0.495560       	348.216016     	337.939028     	73.365005      	0.000000       	0.195029       	0.023803       	0.120533       	0.000000       	0.113965       	120.533250     	74.496232      	0.000000       	0.000000       	0.000000       
1999-09-09	CornRM.90           	1999-04-20	25.443802      	3.506353       	10.893718      	0.000000       	11.043732      	0.496581       	382.035531     	355.139155     	107.308874     	0.000000       	0.197401       	0.024206       	0.122046       	0.000000       	0.064293       	122.045823     	75.355227      	0.000000       	0.000000       	0.000000       
2000-09-11	CornRM.90           	2000-04-19	26.832794      	3.490414       	11.784299      	0.000000       	11.558080      	0.504846       	354.483495     	351.439423     	97.347729      	0.000000       	0.205689       	0.024034       	0.129067       	0.000000       	0.092950       	129.066745     	76.622526      	0.000000       	0.000000       	0.000000       
2001-09-08	CornRM.90           	2001-04-20	24.319356      	3.371921       	10.091231      	0.000000       	10.856204      	0.481741       	382.939731     	341.068535     	85.169678      	0.000000       	0.193506       	0.023344       	0.118048       	0.000000       	0.074049       	118.048000     	75.457936      	0.000000       	0.000000       	0.000000       
2002-09-09	CornRM.90           	2002-04-20	22.473966      	3.263976       	9.099701       	0.000000       	10.110290      	0.473696       	393.915111     	304.363647     	130.031764     	0.000000       	0.194648       	0.024064       	0.117284       	0.000000       	0.014354       	117.283946     	77.363628      	0.000000       	0.000000       	0.000000       
2003-09-13	CornRM.90           	2003-04-20	25.703574      	3.477716       	11.056465      	0.000000       	11.169393      	0.497460       	344.613848     	345.575532     	106.668375     	0.000000       	0.198065       	0.023398       	0.123193       	0.000000       	0.112574       	123.193053     	74.871856      	0.000000       	0.000000       	0.000000       
2004-09-03	CornRM.90           	2004-04-19	27.460453      	3.646273       	11.799142      	0.000000       	12.015038      	0.495467       	341.921806     	341.951649     	104.337362     	0.000000       	0.205595       	0.024690       	0.127335       	0.000000       	0.101038       	127.334635     	78.260419      	0.000000       	0.000000       	0.000000       
