YEAR   	THICKNESS      	THICKNESS      	THICKNESS      	THICKNESS      	THICKNESS      	THICKNESS      	THICKNESS      	THICKNESS      	THICKNESS      	BULK DENSITY   	BULK DENSITY   	BULK DENSITY   	BULK DENSITY   	BULK DENSITY   	BULK DENSITY   	BULK DENSITY   	BULK DENSITY   	BULK DENSITY   	SOIL C         	SOIL C         	SOIL C         	SOIL C         	SOIL C         	SOIL C         	SOIL C         	SOIL C         	SOIL C         	C SAT. RATIO   	C SAT. RATIO   	C SAT. RATIO   	C SAT. RATIO   	C SAT. RATIO   	C SAT. RATIO   	C SAT. RATIO   	C SAT. RATIO   	C SAT. RATIO   
-      	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        
YYYY   	m              	m              	m              	m              	m              	m              	m              	m              	m              	Mg/m3          	Mg/m3          	Mg/m3          	Mg/m3          	Mg/m3          	Mg/m3          	Mg/m3          	Mg/m3          	Mg/m3          	%              	%              	%              	%              	%              	%              	%              	%              	%              	Cs/Cx          	Cs/Cx          	Cs/Cx          	Cs/Cx          	Cs/Cx          	Cs/Cx          	Cs/Cx          	Cs/Cx          	Cs/Cx          
1988	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.322527       	1.613428       	1.620835       	0.298793       	0.285820       	0.182646       	0.178331       	0.176111       	0.174896       	0.801562       	0.556834       	0.559391       	0.085430       	0.081721       	0.043774       	0.042740       	0.042207       	0.041916       
1989	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.364840       	1.600631       	1.607504       	0.301483       	0.287451       	0.184106       	0.179055       	0.176399       	0.175030       	0.816166       	0.552418       	0.554790       	0.086200       	0.082187       	0.044124       	0.042913       	0.042277       	0.041948       
1990	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.422202       	1.584748       	1.590823       	0.305104       	0.289417       	0.185225       	0.179699       	0.176734       	0.175198       	0.835963       	0.546936       	0.549033       	0.087235       	0.082750       	0.044392       	0.043067       	0.042357       	0.041989       
1991	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.470541       	1.573356       	1.577677       	0.307453       	0.290329       	0.185968       	0.180171       	0.177115       	0.175415       	0.852646       	0.543005       	0.544496       	0.087907       	0.083011       	0.044570       	0.043181       	0.042448       	0.042041       
1992	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.476825       	1.559001       	1.563056       	0.309727       	0.291765       	0.186977       	0.180696       	0.177357       	0.175552       	0.854814       	0.538050       	0.539450       	0.088557       	0.083421       	0.044812       	0.043307       	0.042506       	0.042074       
1993	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.533340       	1.549189       	1.553700       	0.313220       	0.293617       	0.188071       	0.181221       	0.177654       	0.175696       	0.874319       	0.534664       	0.536221       	0.089555       	0.083951       	0.045074       	0.043432       	0.042577       	0.042108       
1994	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.563680       	1.535098       	1.539759       	0.316919       	0.295781       	0.189723       	0.181997       	0.177967       	0.175846       	0.884791       	0.529801       	0.531409       	0.090613       	0.084569       	0.045470       	0.043618       	0.042652       	0.042144       
1995	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.588618       	1.524156       	1.529277       	0.319217       	0.296907       	0.190550       	0.182521       	0.178299       	0.176015       	0.893397       	0.526024       	0.527792       	0.091270       	0.084891       	0.045668       	0.043744       	0.042732       	0.042185       
1996	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.609309       	1.511922       	1.516607       	0.322799       	0.298841       	0.191801       	0.183065       	0.178506       	0.176110       	0.900538       	0.521802       	0.523419       	0.092294       	0.085444       	0.045968       	0.043874       	0.042782       	0.042207       
1997	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.629451       	1.501498       	1.505328       	0.325778       	0.300362       	0.192875       	0.183774       	0.178889       	0.176299       	0.907489       	0.518205       	0.519526       	0.093146       	0.085879       	0.046225       	0.044044       	0.042873       	0.042253       
1998	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.662789       	1.489950       	1.493366       	0.329157       	0.301950       	0.194015       	0.184569       	0.179383       	0.176572       	0.918995       	0.514219       	0.515398       	0.094112       	0.086333       	0.046499       	0.044235       	0.042992       	0.042318       
1999	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.675858       	1.477076       	1.481991       	0.332962       	0.304066       	0.195511       	0.185141       	0.179706       	0.176766       	0.923506       	0.509776       	0.511472       	0.095200       	0.086938       	0.046857       	0.044372       	0.043069       	0.042365       
2000	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.683049       	1.466078       	1.470786       	0.335163       	0.305418       	0.196514       	0.185838       	0.180045       	0.176941       	0.925988       	0.505980       	0.507605       	0.095829       	0.087325       	0.047097       	0.044539       	0.043150       	0.042406       
2001	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.698241       	1.456798       	1.462244       	0.339049       	0.307285       	0.197672       	0.186407       	0.180420       	0.177146       	0.931231       	0.502778       	0.504657       	0.096940       	0.087859       	0.047375       	0.044675       	0.043240       	0.042456       
2002	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.702148       	1.447038       	1.454244       	0.341541       	0.308749       	0.198833       	0.186931       	0.180700       	0.177302       	0.932579       	0.499409       	0.501896       	0.097653       	0.088277       	0.047653       	0.044801       	0.043307       	0.042493       
2003	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.708542       	1.435360       	1.441643       	0.345330       	0.310924       	0.200301       	0.187580       	0.180905       	0.177390       	0.934786       	0.495379       	0.497547       	0.098736       	0.088899       	0.048005       	0.044956       	0.043357       	0.042514       
2004	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.715119       	1.422643       	1.427951       	0.348852       	0.312837       	0.201704       	0.188338       	0.181236       	0.177528       	0.937056       	0.490990       	0.492822       	0.099743       	0.089446       	0.048341       	0.045138       	0.043436       	0.042547       
2005	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.716390       	1.413534       	1.418109       	0.351025       	0.313967       	0.202598       	0.188931       	0.181689       	0.177783       	0.937494       	0.487846       	0.489425       	0.100365       	0.089769       	0.048556       	0.045280       	0.043544       	0.042608       
2006	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.723689       	1.402489       	1.406475       	0.354785       	0.315960       	0.203976       	0.189741       	0.182073       	0.177995       	0.940014       	0.484034       	0.485410       	0.101440       	0.090339       	0.048886       	0.045474       	0.043636       	0.042659       
2007	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.726186       	1.390643       	1.394732       	0.358158       	0.317292       	0.205001       	0.190288       	0.182443       	0.178198       	0.940875       	0.479946       	0.481357       	0.102404       	0.090720       	0.049132       	0.045605       	0.043725       	0.042708       
2008	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.725204       	1.380470       	1.384529       	0.360983       	0.319138       	0.206123       	0.190836       	0.182761       	0.178368       	0.940536       	0.476435       	0.477836       	0.103212       	0.091247       	0.049400       	0.045737       	0.043801       	0.042748       
2009	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.728229       	1.368998       	1.372610       	0.364182       	0.321118       	0.207779       	0.191736       	0.183103       	0.178535       	0.941580       	0.472476       	0.473722       	0.104126       	0.091814       	0.049797       	0.045952       	0.043883       	0.042788       
2010	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.729626       	1.359276       	1.363845       	0.366665       	0.322490       	0.208587       	0.192183       	0.183461       	0.178734       	0.942062       	0.469120       	0.470697       	0.104836       	0.092206       	0.049991       	0.046059       	0.043969       	0.042836       
2011	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.734488       	1.348904       	1.353795       	0.370635       	0.324483       	0.209985       	0.192806       	0.183710       	0.178855       	0.943741       	0.465541       	0.467229       	0.105972       	0.092776       	0.050326       	0.046209       	0.044029       	0.042865       
2012	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.730870       	1.338121       	1.343681       	0.373247       	0.325961       	0.211115       	0.193509       	0.184142       	0.179080       	0.942492       	0.461819       	0.463738       	0.106718       	0.093198       	0.050597       	0.046377       	0.044132       	0.042919       
2013	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.728479       	1.328763       	1.334803       	0.375858       	0.327383       	0.212315       	0.194330       	0.184494       	0.179265       	0.941666       	0.458590       	0.460674       	0.107465       	0.093605       	0.050884       	0.046574       	0.044217       	0.042963       
2014	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.730633       	1.318508       	1.324457       	0.379105       	0.328979       	0.213531       	0.194962       	0.184820       	0.179433       	0.942410       	0.455050       	0.457103       	0.108393       	0.094061       	0.051176       	0.046725       	0.044295       	0.043004       
2015	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.734629       	1.308765       	1.314609       	0.382355       	0.330838       	0.214896       	0.195682       	0.185192       	0.179634       	0.943789       	0.451688       	0.453705       	0.109322       	0.094593       	0.051503       	0.046898       	0.044384       	0.043052       
2016	0.050000        	0.050000        	0.100000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	0.200000        	1.303413       	1.303413       	1.303413       	1.407907       	1.407907       	1.208948       	1.208948       	1.208948       	1.208948       	2.734499       	1.301233       	1.306762       	0.385003       	0.332236       	0.215652       	0.196000       	0.185480       	0.179827       	0.943744       	0.449088       	0.450997       	0.110080       	0.094992       	0.051684       	0.046974       	0.044453       	0.043098       
