DATE      	IRRIGATION     	RUNOFF         	INFILTRATION   	DRAINAGE       	BYPASS         	SOIL EVAP      	RES EVAP       	SNOW SUB       	TRANSPIRATION  	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            	SMC            
-         	-              	-              	-              	-              	-              	-              	-              	-              	-              	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        
YYYY-MM-DD	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	mm/day         	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          	m3/m3          
1980-01-01	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.596048       	0.000000       	0.000000       	0.000000       	0.227600       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-02	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.684057       	0.000000       	0.000000       	0.000000       	0.213919       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-03	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.469447       	0.000000       	0.000000       	0.000000       	0.204530       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-04	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.444086       	0.000000       	0.444086       	0.000000       	0.195648       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-05	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.419872       	0.000000       	0.472926       	0.000000       	0.187251       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-06	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.160929       	0.000000       	0.442253       	0.000000       	0.184032       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-07	0.000000       	0.000000       	1.629110       	0.000000       	0.000000       	0.135870       	0.000000       	0.560178       	0.000000       	0.213897       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-08	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.399474       	0.000000       	0.561806       	0.000000       	0.205908       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-09	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.318637       	0.000000       	0.348717       	0.000000       	0.199535       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-10	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.195887       	0.000000       	0.385612       	0.000000       	0.195617       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-11	0.000000       	0.000000       	4.097112       	0.000000       	0.000000       	0.241122       	0.000000       	0.000000       	0.000000       	0.272737       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
1980-01-12	0.000000       	0.000000       	1.194700       	0.000000       	0.000000       	1.646733       	0.000000       	0.000000       	0.000000       	0.263696       	0.239521       	0.239521       	0.293341       	0.293341       	0.379416       	0.379416       	0.379416       	0.379416       
