YEAR   	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	RES BIOMASS IN 	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	ROOT BIOMASS IN	RES C DECOMP   	RES C DECOMP   	RES C DECOMP   	RES C DECOMP   	RES C DECOMP   	RES C DECOMP   	RES C DECOMP   	RES C DECOMP   	RES C DECOMP   	ROOT C DECOMP  	ROOT C DECOMP  	ROOT C DECOMP  	ROOT C DECOMP  	ROOT C DECOMP  	ROOT C DECOMP  	ROOT C DECOMP  	ROOT C DECOMP  	ROOT C DECOMP  	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	INIT C MASS    	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	HUMIFIED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	RESPIRED C     	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	FINAL C        	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         	C DIFF         
-      	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        	LAYER 1        	LAYER 2        	LAYER 3        	LAYER 4        	LAYER 5        	LAYER 6        	LAYER 7        	LAYER 8        	LAYER 9        
YYYY   	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      	Mg C/year      
1980	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.887790       	0.764128       	1.223771       	1.575897       	0.851054       	0.454791       	0.240663       	0.126624       	0.066966       	0.376585       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.170751       	0.217675       	0.271027       	0.273935       	0.116668       	0.060565       	0.040638       	0.027981       	0.021050       	11.339690      	11.339690      	22.679380      	7.675909       	7.675909       	4.207140       	4.207140       	4.207140       	4.207140       	0.350535       	0.179719       	0.261042       	0.094067       	0.038658       	0.018870       	0.013366       	0.010253       	0.008386       	0.242902       	0.176154       	0.285809       	0.011505       	0.005374       	0.000535       	0.000592       	0.000749       	0.000650       	11.264441      	11.249259      	22.527983      	7.681043       	7.676757       	4.207276       	4.207253       	4.207265       	4.207205       	-0.075249      	-0.090431      	-0.151398      	0.005133       	0.000847       	0.000135       	0.000113       	0.000125       	0.000065       
1981	0.733662       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.735809       	0.633317       	1.014273       	1.305796       	0.703871       	0.375724       	0.201308       	0.106875       	0.056449       	4.996719       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.361206       	0.301425       	0.560452       	0.735677       	0.396805       	0.152617       	0.022777       	0.005964       	0.003534       	11.264441      	11.249259      	22.527983      	7.681043       	7.676757       	4.207276       	4.207253       	4.207265       	4.207205       	2.981955       	0.228083       	0.430331       	0.380051       	0.191468       	0.067043       	0.010050       	0.003004       	0.001873       	1.387063       	0.194468       	0.366399       	0.149786       	0.062790       	0.012945       	0.001711       	0.000936       	0.000740       	11.923645      	11.160113      	22.350011      	7.787335       	7.719225       	4.216971       	4.208183       	4.207600       	4.207417       	0.659204       	-0.089146      	-0.177972      	0.106292       	0.042468       	0.009695       	0.000930       	0.000334       	0.000212       
1982	0.584244       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.754025       	0.648995       	1.039383       	1.337743       	0.721495       	0.386960       	0.206740       	0.109812       	0.057243       	4.809892       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.360696       	0.322999       	0.516190       	0.677031       	0.356092       	0.256057       	0.142737       	0.036560       	0.013504       	11.923645      	11.160113      	22.350011      	7.787335       	7.719225       	4.216971       	4.208183       	4.207600       	4.207417       	2.860568       	0.251308       	0.435128       	0.363675       	0.190771       	0.139750       	0.066363       	0.015430       	0.005881       	1.371002       	0.217053       	0.398377       	0.150631       	0.078693       	0.052327       	0.015741       	0.002099       	0.000984       	12.517727      	11.059963      	22.140900      	7.893566       	7.773197       	4.257167       	4.219945       	4.208812       	4.207804       	0.594082       	-0.100150      	-0.209111      	0.106231       	0.053973       	0.040196       	0.011762       	0.001212       	0.000387       
1983	0.433546       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.766873       	0.660054       	1.057093       	1.359870       	0.729477       	0.390794       	0.209474       	0.111436       	0.058484       	3.514314       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.295508       	0.247648       	0.366784       	0.429221       	0.253730       	0.113659       	0.110533       	0.100506       	0.041963       	12.517727      	11.059963      	22.140900      	7.893566       	7.773197       	4.257167       	4.219945       	4.208812       	4.207804       	2.096374       	0.181583       	0.276683       	0.211992       	0.130714       	0.059959       	0.058004       	0.046537       	0.017627       	1.044146       	0.155088       	0.242295       	0.080623       	0.052641       	0.023775       	0.020074       	0.009895       	0.002135       	12.909394      	10.979628      	22.002919      	7.949393       	7.808611       	4.275322       	4.235198       	4.216084       	4.209086       	0.391667       	-0.080336      	-0.137981      	0.055827       	0.035413       	0.018155       	0.015253       	0.007272       	0.001282       
1984	0.574433       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.771993       	0.664461       	1.064151       	1.370269       	0.738488       	0.395569       	0.210053       	0.111616       	0.058474       	4.352339       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.336147       	0.293293       	0.500080       	0.711915       	0.404726       	0.229087       	0.112946       	0.054885       	0.024770       	12.909394      	10.979628      	22.002919      	7.949393       	7.808611       	4.275322       	4.235198       	4.216084       	4.209086       	2.530698       	0.231795       	0.420437       	0.378384       	0.219275       	0.126738       	0.063812       	0.030381       	0.012086       	1.257720       	0.205258       	0.388229       	0.158573       	0.093045       	0.049534       	0.025548       	0.011545       	0.003025       	13.393629      	10.877255      	21.796596      	8.059714       	7.871385       	4.313262       	4.254607       	4.224686       	4.211124       	0.484234       	-0.102373      	-0.206323      	0.110321       	0.062774       	0.037941       	0.019409       	0.008603       	0.002038       
1985	0.548635       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.861853       	0.741804       	1.188018       	1.529846       	0.824352       	0.440728       	0.234536       	0.123724       	0.064990       	4.529131       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.362500       	0.322663       	0.497143       	0.555130       	0.240527       	0.128635       	0.088121       	0.055254       	0.040821       	13.393629      	10.877255      	21.796596      	8.059714       	7.871385       	4.313262       	4.254607       	4.224686       	4.211124       	2.587430       	0.239492       	0.374994       	0.280877       	0.118822       	0.066206       	0.047611       	0.031218       	0.020624       	1.308064       	0.201342       	0.320575       	0.110188       	0.046790       	0.025389       	0.018783       	0.012700       	0.005664       	13.871888      	10.783450      	21.634858      	8.136129       	7.902019       	4.332611       	4.268782       	4.234113       	4.215136       	0.478259       	-0.093805      	-0.161738      	0.076415       	0.030634       	0.019349       	0.014175       	0.009426       	0.004012       
1986	0.541913       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.788091       	0.678317       	1.086342       	1.398105       	0.752574       	0.403189       	0.215327       	0.115484       	0.060565       	4.494016       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.350657       	0.284582       	0.462703       	0.654787       	0.377584       	0.191308       	0.106437       	0.050516       	0.027477       	13.871888      	10.783450      	21.634858      	8.136129       	7.902019       	4.332611       	4.268782       	4.234113       	4.215136       	2.507900       	0.222841       	0.368940       	0.344185       	0.200563       	0.103914       	0.059450       	0.028389       	0.015610       	1.295575       	0.195799       	0.328207       	0.141343       	0.082350       	0.040290       	0.023569       	0.011577       	0.006293       	14.316939      	10.685012      	21.467402      	8.234531       	7.958098       	4.363457       	4.286598       	4.242671       	4.219648       	0.445051       	-0.098438      	-0.167457      	0.098402       	0.056079       	0.030846       	0.017816       	0.008558       	0.004511       
1987	0.529811       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.761641       	0.655551       	1.049882       	1.351182       	0.729217       	0.389940       	0.206301       	0.109509       	0.057725       	4.910231       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.356300       	0.296713       	0.488756       	0.663216       	0.371853       	0.205068       	0.094776       	0.050213       	0.027076       	14.316939      	10.685012      	21.467402      	8.234531       	7.958098       	4.363457       	4.286598       	4.242671       	4.219648       	2.646415       	0.232488       	0.409992       	0.355819       	0.201077       	0.114224       	0.053195       	0.028546       	0.015801       	1.386666       	0.201858       	0.373251       	0.148228       	0.084115       	0.045067       	0.021537       	0.011686       	0.006662       	14.774691      	10.586726      	21.269804      	8.336977       	8.014337       	4.397900       	4.302795       	4.251274       	4.224404       	0.457752       	-0.098286      	-0.197597      	0.102446       	0.056239       	0.034443       	0.016197       	0.008603       	0.004756       
