YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.911101        2.048133        0.034926        0.037430        0.000000        0.000000        1.070208            1.571823            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    7.8471E-007 1.0736E-004 11.313528   1.257133    0.401932    0.044657    0.000000    0.169888    6.4195E-003 0.000000        3.9409E-003 1.1260E-004 0.000000    0.000000    -999
2       0.335028    1.8134E-004 1.2087E-003 11.233415   1.248215    0.315735    0.035612    0.000000    0.052301    9.9019E-004 0.000000        1.2132E-003 1.8108E-005 0.000000    0.000000    -999
3       0.340554    4.0026E-003 3.5075E-003 22.522720   2.502590    0.634551    0.071495    0.000000    0.127246    0.010013    0.000000        2.9517E-003 2.0850E-004 0.000000    0.000000    -999
4       0.370142    0.031046    5.6711E-003 7.706512    0.856328    0.307938    0.034797    0.000000    0.168470    0.023581    0.000000        3.9080E-003 5.2297E-004 0.000000    0.000000    -999
5       0.368184    0.038113    1.2364E-003 7.681101    0.853460    0.285940    0.032029    0.000000    0.113080    0.016069    0.000000        2.6231E-003 3.4540E-004 0.000000    0.000000    -999
6       0.486906    0.031923    1.0953E-004 4.207417    0.467491    0.155270    0.017338    0.000000    0.084176    0.012013    0.000000        1.9526E-003 2.4696E-004 0.000000    0.000000    -999
7       0.493632    0.014489    2.4298E-005 4.207268    0.467474    0.142795    0.015909    0.000000    0.044329    3.2456E-003 0.000000        1.0283E-003 6.3290E-005 0.000000    0.000000    -999
8       0.497905    4.1587E-003 5.2613E-006 4.207308    0.467479    0.139331    0.015515    0.000000    0.013189    3.4163E-004 0.000000        3.0594E-004 6.5368E-006 0.000000    0.000000    -999
9       0.484100    8.9914E-004 2.1762E-005 4.207185    0.467465    0.132889    0.014783    0.000000    7.2370E-003 2.2333E-004 0.000000        1.6788E-004 4.3281E-006 0.000000    0.000000    -999

