YEAR    1980    DOY     365
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.795225        1.852966        0.029440        0.030387        0.000000        0.000000        0.863984            1.422044            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    8.7839E-008 2.2557E-005 11.283181   1.253704    0.369385    0.040847    0.000000    0.158651    8.9288E-003 0.000000        3.2286E-003 1.5566E-004 0.000000    0.000000    -999
2       0.335028    2.1293E-004 1.1934E-003 11.265873   1.251795    0.315434    0.035383    0.000000    0.046198    1.9140E-003 0.000000        9.4016E-004 3.6408E-005 0.000000    0.000000    -999
3       0.355089    2.1947E-003 2.6360E-003 22.499897   2.500054    0.620395    0.069686    0.000000    0.072838    2.4769E-003 0.000000        1.4823E-003 4.5691E-005 0.000000    0.000000    -999
4       0.400703    4.5369E-003 1.4469E-003 7.709045    0.856571    0.297110    0.033111    0.000000    0.097827    5.9488E-003 0.000000        1.9908E-003 1.1207E-004 0.000000    0.000000    -999
5       0.402467    2.1782E-003 2.4531E-004 7.677622    0.853069    0.272471    0.030309    0.000000    0.111920    0.023117    0.000000        2.2776E-003 4.2764E-004 0.000000    0.000000    -999
6       0.479819    5.9685E-004 2.0196E-005 4.207311    0.467479    0.151037    0.016792    0.000000    0.066770    0.012515    0.000000        1.3588E-003 2.2933E-004 0.000000    0.000000    -999
7       0.455273    1.2707E-004 9.5904E-006 4.207218    0.467469    0.139910    0.015548    0.000000    0.036166    3.9646E-003 0.000000        7.3600E-004 7.1462E-005 0.000000    0.000000    -999
8       0.436428    1.9855E-009 1.4497E-007 4.207246    0.467472    0.136791    0.015201    0.000000    0.011744    3.7159E-004 0.000000        2.3899E-004 6.3697E-006 0.000000    0.000000    -999
9       0.391026    1.6881E-004 1.8321E-005 4.207189    0.467465    0.132208    0.014690    0.000000    4.6887E-003 1.0246E-004 0.000000        9.5417E-005 1.7268E-006 0.000000    0.000000    -999

