index,status,exit_code,elapsed_seconds,label,domain,method,adaptive,fixed_weather,seed,budget,command
1,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | fixed_weather | years=1000 | seed=0,fertilization,PPO,True,True,0,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --fixed-weather
2,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | fixed_weather | years=1000 | seed=0,fertilization,PPO,False,True,0,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --fixed-weather --nonadaptive
3,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | random_weather | years=1000 | seed=0,fertilization,PPO,True,False,0,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0
4,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | random_weather | years=1000 | seed=0,fertilization,PPO,False,False,0,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nonadaptive
5,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | fixed_weather | years=1000 | seed=1,fertilization,PPO,True,True,1,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 1 --fixed-weather
6,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | fixed_weather | years=1000 | seed=1,fertilization,PPO,False,True,1,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 1 --fixed-weather --nonadaptive
7,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | random_weather | years=1000 | seed=1,fertilization,PPO,True,False,1,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 1
8,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | random_weather | years=1000 | seed=1,fertilization,PPO,False,False,1,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 1 --nonadaptive
9,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | fixed_weather | years=1000 | seed=2,fertilization,PPO,True,True,2,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 2 --fixed-weather
10,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | fixed_weather | years=1000 | seed=2,fertilization,PPO,False,True,2,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 2 --fixed-weather --nonadaptive
11,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | random_weather | years=1000 | seed=2,fertilization,PPO,True,False,2,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 2
12,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | random_weather | years=1000 | seed=2,fertilization,PPO,False,False,2,total_years=1000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 2 --nonadaptive
13,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=0,fertilization,PPO,True,True,0,total_years=3000,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 3000 --n-process 8 --eval-freq 20000 --seed 0 --fixed-weather
