index,label,bundle_dir,summary_json_relpath,wandb_summary_relpath,run_id,status,domain,method,seed,fixed_weather,weather_label,nonadaptive,adaptive,adaptive_label,hierarchical,baseline,total_years,budget_label,price_profile,nutrient_action_mode,report_group,primary_metric_name,primary_metric_value,deterministic_return,eval_det_mean_reward,eval_sto_mean_reward,stochastic_return_mean,stochastic_return_std,pak_holdout_return,baseline_best_return,uplift_vs_best_baseline_det,runtime_seconds,source_kind,source_project,source_run_name,source_created,notes,replacement_reason,replacement_previous_run_id,guardrail_enforce_calendar_windows,guardrail_limit_fertilizer_to_season,guardrail_annual_n_budget,guardrail_annual_p_budget,guardrail_annual_k_budget,hierarchical_export_match,hierarchical_export_det_return,hierarchical_export_eval_det_mean_reward,group_key
12,Fertilization | PPO | nonadaptive | random_weather | years=1000 | seed=2,artifacts/final_successful_runs/final_113/bundles/012_fertilization_ppo_nonadaptive_random_weather_years_1000_seed_2,artifacts/final_successful_runs/final_113/bundles/012_fertilization_ppo_nonadaptive_random_weather_years_1000_seed_2/summary/012_fertilization_ppo_seed2_hFalse.json,artifacts/final_successful_runs/final_113/bundles/012_fertilization_ppo_nonadaptive_random_weather_years_1000_seed_2/wandb/wandb-summary.json,4lvuiim0,finished,fertilization,PPO,2,False,random_weather,True,False,nonadaptive,False,False,1000.0,1000,pakistan_baseline,NPK,fertilization_core,deterministic_return,650883.125,650883.125,,,355394.90625,24113.3125,336570.96875,,,1868.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | random_weather | years=1000
13,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/013_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/013_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_0/summary/013_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/013_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_0/wandb/wandb-summary.json,zkmi6y59,finished,fertilization,PPO,0,True,fixed_weather,False,True,adaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,755510.8125,755510.8125,,,720468.375,10168.0703125,716105.875,,,1876.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | fixed_weather | years=3000
14,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/014_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/014_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_0/summary/014_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/014_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_0/wandb/wandb-summary.json,ogzw39v1,finished,fertilization,PPO,0,True,fixed_weather,True,False,nonadaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,791255.5,791255.5,,,768526.1875,9065.802734375,772749.9375,,,1584.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | fixed_weather | years=3000
15,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/015_fertilization_ppo_adaptive_random_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/015_fertilization_ppo_adaptive_random_weather_years_3000_seed_0/summary/015_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/015_fertilization_ppo_adaptive_random_weather_years_3000_seed_0/wandb/wandb-summary.json,cbnf3sv1,finished,fertilization,PPO,0,False,random_weather,False,True,adaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,725362.3125,725362.3125,,,668373.125,16754.671875,679938.125,,,1782.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | random_weather | years=3000
16,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/016_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/016_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_0/summary/016_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/016_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_0/wandb/wandb-summary.json,ml6nhvhj,finished,fertilization,PPO,0,False,random_weather,True,False,nonadaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,750198.0,750198.0,,,750198.0,0.0,750198.0,,,1537.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | random_weather | years=3000
17,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/017_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/017_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_1/summary/017_fertilization_ppo_seed1_hFalse.json,artifacts/final_successful_runs/final_113/bundles/017_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_1/wandb/wandb-summary.json,aiv18hus,finished,fertilization,PPO,1,True,fixed_weather,False,True,adaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,791255.5,791255.5,,,789005.4375,8317.544921875,786757.875,,,1557.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | fixed_weather | years=3000
18,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/018_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/018_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_1/summary/018_fertilization_ppo_seed1_hFalse.json,artifacts/final_successful_runs/final_113/bundles/018_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_1/wandb/wandb-summary.json,dldpxwai,finished,fertilization,PPO,1,True,fixed_weather,True,False,nonadaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,713063.75,713063.75,,,663682.4375,9456.564453125,679595.375,,,1731.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | fixed_weather | years=3000
19,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/019_fertilization_ppo_adaptive_random_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/019_fertilization_ppo_adaptive_random_weather_years_3000_seed_1/summary/019_fertilization_ppo_seed1_hFalse.json,artifacts/final_successful_runs/final_113/bundles/019_fertilization_ppo_adaptive_random_weather_years_3000_seed_1/wandb/wandb-summary.json,unpiw1tk,finished,fertilization,PPO,1,False,random_weather,False,True,adaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,720371.875,720371.875,,,685619.125,13767.8779296875,685894.6875,,,1868.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | random_weather | years=3000
20,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/020_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/020_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_1/summary/020_fertilization_ppo_seed1_hFalse.json,artifacts/final_successful_runs/final_113/bundles/020_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_1/wandb/wandb-summary.json,giomrzzf,finished,fertilization,PPO,1,False,random_weather,True,False,nonadaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,750198.0,750198.0,,,444314.84375,123112.15625,490148.3125,,,1615.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | random_weather | years=3000
21,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/021_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/021_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_2/summary/021_fertilization_ppo_seed2_hFalse.json,artifacts/final_successful_runs/final_113/bundles/021_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_2/wandb/wandb-summary.json,c3fkpsea,finished,fertilization,PPO,2,True,fixed_weather,False,True,adaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,660374.9375,660374.9375,,,674736.9375,44683.98828125,645440.125,,,1981.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | fixed_weather | years=3000
