report_group,group_key,domain,method,adaptive,adaptive_label,fixed_weather,weather_label,hierarchical,baseline,total_years,budget_label,primary_metric_name,n,source_kind_set,inferential_eligible,primary_metric_value_mean,primary_metric_value_std,primary_metric_value_se,primary_metric_value_ci_low,primary_metric_value_ci_high,primary_metric_value_min,primary_metric_value_max,deterministic_return_mean,deterministic_return_std,deterministic_return_se,deterministic_return_ci_low,deterministic_return_ci_high,deterministic_return_min,deterministic_return_max,eval_det_mean_reward_mean,eval_det_mean_reward_std,eval_det_mean_reward_se,eval_det_mean_reward_ci_low,eval_det_mean_reward_ci_high,eval_det_mean_reward_min,eval_det_mean_reward_max,eval_sto_mean_reward_mean,eval_sto_mean_reward_std,eval_sto_mean_reward_se,eval_sto_mean_reward_ci_low,eval_sto_mean_reward_ci_high,eval_sto_mean_reward_min,eval_sto_mean_reward_max,stochastic_return_mean_mean,stochastic_return_mean_std,stochastic_return_mean_se,stochastic_return_mean_ci_low,stochastic_return_mean_ci_high,stochastic_return_mean_min,stochastic_return_mean_max,stochastic_return_std_mean,stochastic_return_std_std,stochastic_return_std_se,stochastic_return_std_ci_low,stochastic_return_std_ci_high,stochastic_return_std_min,stochastic_return_std_max,pak_holdout_return_mean,pak_holdout_return_std,pak_holdout_return_se,pak_holdout_return_ci_low,pak_holdout_return_ci_high,pak_holdout_return_min,pak_holdout_return_max,baseline_best_return_mean,baseline_best_return_std,baseline_best_return_se,baseline_best_return_ci_low,baseline_best_return_ci_high,baseline_best_return_min,baseline_best_return_max,uplift_vs_best_baseline_det_mean,uplift_vs_best_baseline_det_std,uplift_vs_best_baseline_det_se,uplift_vs_best_baseline_det_ci_low,uplift_vs_best_baseline_det_ci_high,uplift_vs_best_baseline_det_min,uplift_vs_best_baseline_det_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_se,runtime_seconds_ci_low,runtime_seconds_ci_high,runtime_seconds_min,runtime_seconds_max
crop_planning_nonhier,A2C | nonadaptive | random_weather,crop_planning,A2C,False,nonadaptive,False,random_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,20041.125,2872.032829847875,1658.1689274341134,12906.599938078289,27175.65006192171,16791.793,22240.207,14426.367838541666,2435.476297079029,1406.1228957235303,8376.309322968575,20476.42635411476,12589.94140625,17189.0859375,20041.125,2872.032829847875,1658.1689274341134,12906.599938078289,27175.65006192171,16791.793,22240.207,17249.695000000003,1110.0502582464446,640.8878154125985,14492.17729158599,20007.212708414016,16382.706,18500.783,16635.501302083332,875.357172866776,505.3876993917029,14460.99353774077,18810.009066425897,15797.3515625,17543.83984375,2001.5946044921875,61.793237062693166,35.67634205224426,1848.0916939755255,2155.0975150088493,1938.987548828125,2062.54052734375,,,,,,,,20827.199869791668,190.23188173470936,109.83042812798351,20354.637678403105,21299.76206118023,20615.443359375,20983.650390625,-6400.83203125,2430.246836208658,1403.103665082305,-12437.899845863041,-363.76421663695874,-8393.708984375,-3693.419921875,849.0,11.269427669584644,6.506407098647712,821.0051897364891,876.9948102635109,836.0,856.0
crop_planning_nonhier,A2C | nonadaptive | fixed_weather,crop_planning,A2C,False,nonadaptive,True,fixed_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,19641.931,2374.978319890099,1371.194372308074,13742.15779104468,25541.70420895532,16955.273,21461.625,15272.288736979166,1668.0875779724404,963.0708121742593,11128.529478086908,19416.047995871424,13467.6904296875,16757.755859375,19641.931,2374.978319890099,1371.194372308074,13742.15779104468,25541.70420895532,16955.273,21461.625,17252.267,945.3010064291694,545.7697905271052,14904.009121002859,19600.52487899714,16364.227,18245.953,16503.326171875,1027.8715064995959,593.4418909698878,13949.951799777373,19056.700543972627,15545.884765625,17589.5,2131.227783203125,254.06921006112458,146.68692682158587,1500.0848771034903,2762.3706893027597,1920.703369140625,2413.4384765625,,,,,,,,20593.30859375,0.0,0.0,20593.30859375,20593.30859375,20593.30859375,20593.30859375,-5321.019856770833,1668.0875779724404,963.0708121742593,-9464.77911566309,-1177.260597878576,-7125.6181640625,-3835.552734375,848.3333333333334,13.868429375143148,8.00694143297621,813.8822449202212,882.7844217464456,833.0,860.0
crop_planning_nonhier,PPO | adaptive | random_weather,crop_planning,PPO,True,adaptive,False,random_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,19591.562666666665,1919.9129518229026,1108.4622595556018,14822.2344998246,24360.89083350873,17651.826,21491.018,17487.365234375,3722.4400741288227,2149.1517788405263,8240.31146661549,26734.41900213451,13315.9296875,20470.8046875,19591.562666666665,1919.9129518229026,1108.4622595556018,14822.2344998246,24360.89083350873,17651.826,21491.018,16397.817,877.4055591509543,506.5703357642776,14218.220762040739,18577.41323795926,15595.26,17334.602,16386.017903645832,407.26527287667824,235.1347149269366,15374.314880619124,17397.72092667254,15923.2529296875,16689.8671875,1351.503926595052,660.2533642996593,381.1974576117644,-288.65635495143533,2991.6642081415393,781.6670532226562,2075.055419921875,,,,,,,,20588.151041666668,295.8407706694969,170.8037485833004,19853.241826582398,21323.060256750938,20355.875,20921.216796875,-3100.7858072916665,3988.745070296473,2302.9030400644615,-13009.377858850565,6807.806244267233,-7605.287109375,-16.556640625,887.3333333333334,8.962886439832502,5.174724898753342,865.0682891222857,909.598377544381,877.0,893.0
crop_planning_nonhier,A2C | adaptive | random_weather,crop_planning,A2C,True,adaptive,False,random_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,18792.672333333336,2705.594191793428,1562.0755349498236,12071.603768889916,25513.740897776755,15750.002,20927.895,19380.8310546875,3406.4480276331283,1966.7136857344565,10918.745046231381,27842.91706314362,15562.1611328125,22106.994140625,18792.672333333336,2705.594191793428,1562.0755349498236,12071.603768889916,25513.740897776755,15750.002,20927.895,17738.668333333335,1516.4661789582824,875.5321566385276,13971.557509635824,21505.779157030847,16310.396,19330.129,18352.55078125,1938.511056324873,1119.1998801962313,13537.02236164809,23168.07920085191,16348.9453125,20218.64453125,1062.0109252929688,216.26962593747118,124.86332675253865,524.767391602217,1599.2544589837205,842.4262084960938,1274.8055419921875,,,,,,,,20827.199869791668,190.23188173470936,109.83042812798351,20354.637678403105,21299.76206118023,20615.443359375,20983.650390625,-1446.3688151041667,3501.089997575587,2021.3552525573714,-10143.558510205774,7250.820879997441,-5320.3447265625,1491.55078125,884.0,4.358898943540674,2.5166114784235836,873.1718947527761,894.8281052472239,881.0,889.0
fertilization_baseline,Baseline only,fertilization,PPO,True,adaptive,False,random_weather,False,True,25.0,25,baseline_best_return,1,existing_curated_bundle,False,750198.0625,,,750198.0625,750198.0625,750198.0625,750198.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750198.0625,,,750198.0625,750198.0625,750198.0625,750198.0625,,,,,,,,1135.0,,,1135.0,1135.0,1135.0,1135.0
fertilization_core,A2C | nonadaptive | fixed_weather | years=5000,fertilization,A2C,False,nonadaptive,True,fixed_weather,False,False,5000.0,5000,deterministic_return,3,existing_curated_bundle,True,779267.3541666666,20764.077671878473,11988.145833333334,727686.5257728795,830848.1825604538,755291.0625,791255.5,779267.3541666666,20764.077671878473,11988.145833333334,727686.5257728795,830848.1825604538,755291.0625,791255.5,,,,,,,,,,,,,,,716106.6875,127744.41811348293,73753.27418529148,398771.9610026276,1033441.4139973724,568602.875,790636.625,18889.4775390625,19758.617485867006,11407.643124280163,-30193.649289020963,67972.60436714596,6351.994140625,41666.14453125,731804.8333333334,104617.80467873611,60401.117693295986,471919.79941357544,991689.8672530913,611024.3125,794178.625,,,,,,,,,,,,,,,2440.3333333333335,588.6376927561922,339.8501303679478,978.0762422180931,3902.5904244485737,2056.0,3118.0
fertilization_core,PPO | nonadaptive | fixed_weather | years=3000,fertilization,PPO,False,nonadaptive,True,fixed_weather,False,False,3000.0,3000,deterministic_return,3,existing_curated_bundle,True,765191.5833333334,45144.02791090792,26063.916666666668,653047.6011409273,877335.5655257395,713063.75,791255.5,765191.5833333334,45144.02791090792,26063.916666666668,653047.6011409273,877335.5655257395,713063.75,791255.5,,,,,,,,,,,,,,,741154.7083333334,68048.65886066879,39287.91151120014,572112.4686256077,910196.9480410591,663682.4375,791255.5,6174.122395833333,5350.5153209067785,3089.1214608287455,-7117.294489964402,19465.539281631067,0.0,9456.564453125,747825.375,59799.36301033152,34525.17833138305,599275.5222092286,896375.2277907714,679595.375,791130.8125,,,,,,,,,,,,,,,1597.0,127.99609369039354,73.89857914736928,1279.0400767109052,1914.9599232890948,1476.0,1731.0
fertilization_core,PPO | nonadaptive | random_weather | years=3000,fertilization,PPO,False,nonadaptive,False,random_weather,False,False,3000.0,3000,deterministic_return,3,existing_curated_bundle,True,750198.0,0.0,0.0,750198.0,750198.0,750198.0,750198.0,750198.0,0.0,0.0,750198.0,750198.0,750198.0,750198.0,,,,,,,,,,,,,,,647488.40625,175957.04896967387,101588.84958845338,210386.8652615503,1084589.9472384497,444314.84375,750198.0,41648.58410644531,70555.47964848284,40735.22516785473,-133620.94365681184,216918.11186970246,0.0,123112.15625,662708.1875,149446.1329125894,86282.7650664321,291463.41286118503,1033952.962138815,490148.3125,750198.0,,,,,,,,,,,,,,,1568.0,41.38840417314975,23.895606290697042,1465.185504365588,1670.814495634412,1537.0,1615.0
fertilization_core,PPO | nonadaptive | fixed_weather | years=5000,fertilization,PPO,False,nonadaptive,True,fixed_weather,False,False,5000.0,5000,deterministic_return,3,existing_curated_bundle,True,740142.375,75393.81365212744,43528.63860728827,552853.7592763943,927430.9907236057,653554.5625,791255.5,740142.375,75393.81365212744,43528.63860728827,552853.7592763943,927430.9907236057,653554.5625,791255.5,,,,,,,,,,,,,,,713156.0,109309.80686714267,63110.04641981083,441615.3865005507,984696.6134994493,587222.6875,783487.0625,19295.014811197918,19409.33540960706,11205.985023528372,-28920.447239220517,67510.47686161635,4604.34326171875,41298.46875,715127.875,100490.1652874743,58018.023979633275,465496.4657524547,964759.2842475453,599169.1875,776776.0625,,,,,,,,,,,,,,,2221.3333333333335,102.67586538877251,59.27993852148559,1966.272344037644,2476.394322629023,2131.0,2333.0
fertilization_core,PPO | adaptive | fixed_weather | years=5000,fertilization,PPO,True,adaptive,True,fixed_weather,False,False,5000.0,5000,deterministic_return,3,existing_curated_bundle,True,739107.6666666666,83750.79582416509,48353.5445139271,531059.1563733342,947156.176959999,642502.5625,791255.5,739107.6666666666,83750.79582416509,48353.5445139271,531059.1563733342,947156.176959999,642502.5625,791255.5,,,,,,,,,,,,,,,731462.8958333334,52901.75759797048,30542.843989792585,600047.6447679689,862878.1468986978,687985.625,790361.875,14826.468668619791,12382.097803809007,7148.807500161404,-15932.367436021928,45585.30477326151,1094.462646484375,25140.7109375,722931.3958333334,59328.29778959343,34253.20869938405,575551.733922077,870311.0577445898,667895.625,785778.375,,,,,,,,,,,,,,,2194.0,130.67516979135706,75.44534445544006,1869.3848827359352,2518.615117264065,2088.0,2340.0
fertilization_core,PPO | nonadaptive | random_weather | years=5000,fertilization,PPO,False,nonadaptive,False,random_weather,False,False,5000.0,5000,deterministic_return,3,existing_curated_bundle,True,738524.6458333334,20218.842511412517,11673.354166666666,688298.2566634152,788751.0350032515,715177.9375,750198.0,738524.6458333334,20218.842511412517,11673.354166666666,688298.2566634152,788751.0350032515,715177.9375,750198.0,,,,,,,,,,,,,,,664476.6875,57642.75381806866,33280.05943369327,521284.1489331698,807669.2260668302,598070.625,701599.3125,29315.651692708332,10345.580168897783,5973.023495435989,3615.805845531482,55015.49753988518,17542.021484375,36953.82421875,667996.6458333334,37158.916983781324,21453.710723381104,575688.7788272663,760304.5128394004,637783.875,709488.1875,,,,,,,,,,,,,,,2105.6666666666665,59.16361494477272,34.15812901459589,1958.6960996207026,2252.6372337126304,2062.0,2173.0
fertilization_core,PPO | adaptive | fixed_weather | years=3000,fertilization,PPO,True,adaptive,True,fixed_weather,False,False,3000.0,3000,deterministic_return,3,existing_curated_bundle,True,735713.75,67648.89631620594,39057.108498542584,567664.5755047074,903762.9244952926,660374.9375,791255.5,735713.75,67648.89631620594,39057.108498542584,567664.5755047074,903762.9244952926,660374.9375,791255.5,,,,,,,,,,,,,,,728070.25,57512.29347451916,33204.73811922639,585201.792892465,870938.707107535,674736.9375,789005.4375,21056.534505208332,20482.88407450416,11825.798634194876,-29825.77026904716,71938.83927946382,8317.544921875,44683.98828125,716101.2916666666,70658.87511148783,40794.92056625365,540574.9153345381,891627.6679987952,645440.125,786757.875,,,,,,,,,,,,,,,1804.6666666666667,220.81742081034577,127.48899734661201,1256.1257842270425,2353.207549106291,1557.0,1981.0
fertilization_core,PPO | adaptive | random_weather | years=3000,fertilization,PPO,True,adaptive,False,random_weather,False,False,3000.0,3000,deterministic_return,3,existing_curated_bundle,True,728911.6041666666,10762.640714152223,6213.813513507012,702175.7224909529,755647.4858423803,720371.875,741000.625,728911.6041666666,10762.640714152223,6213.813513507012,702175.7224909529,755647.4858423803,720371.875,741000.625,,,,,,,,,,,,,,,692336.6666666666,27934.79523605298,16128.161549292265,622942.7883516239,761730.5449817093,668373.125,723017.75,13403.816080729166,3546.9274506141737,2047.8195184081665,4592.759839925229,22214.872321533105,9688.8984375,16754.671875,694994.875,21131.45478281799,12200.251107228372,642501.4312705054,747488.3187294946,679938.125,719151.8125,,,,,,,,,,,,,,,1773.0,99.80480950335009,57.62233363317849,1525.0711089017427,2020.9288910982573,1669.0,1868.0
fertilization_core,PPO | adaptive | random_weather | years=5000,fertilization,PPO,True,adaptive,False,random_weather,False,False,5000.0,5000,deterministic_return,3,existing_curated_bundle,True,725613.4791666666,11620.293814583156,6708.979761912128,696747.0690805992,754479.889252734,714017.375,737257.8125,725613.4791666666,11620.293814583156,6708.979761912128,696747.0690805992,754479.889252734,714017.375,737257.8125,,,,,,,,,,,,,,,688959.3541666666,13633.884661182487,7871.526979234019,655090.9071225886,722827.8012107447,673578.375,699557.0625,13448.7900390625,8708.098818442531,5027.6231969576575,-8183.326633211007,35080.90671133601,7932.6796875,23487.66796875,688436.125,18151.27269890031,10479.642178844399,643345.8639729563,733526.3860270437,672277.0,708075.5625,,,,,,,,,,,,,,,2264.3333333333335,63.68935023481817,36.77106350258463,2106.1202165801074,2422.5464500865596,2198.0,2325.0
fertilization_core,PPO | nonadaptive | fixed_weather | years=1000,fertilization,PPO,False,nonadaptive,True,fixed_weather,False,False,1000.0,1000,deterministic_return,3,existing_curated_bundle,True,661253.2291666666,62630.56863123322,36159.77565874183,505670.271723381,816836.1866099522,618693.0,733169.875,661253.2291666666,62630.56863123322,36159.77565874183,505670.271723381,816836.1866099522,618693.0,733169.875,,,,,,,,,,,,,,,396830.7604166667,67893.2920373456,39198.21043393136,228174.47329390814,565487.0475394252,338031.53125,471135.6875,27929.464192708332,15932.867886413313,9198.84556318347,-11649.973779776268,67508.90216519294,17542.25390625,46273.5703125,392546.8020833333,61096.92511379503,35274.326161107965,240773.6263380501,544319.9778286165,346319.53125,461813.59375,,,,,,,,,,,,,,,1872.6666666666667,188.50022104319487,108.83065336159252,1404.406158905796,2340.9271744275375,1656.0,1999.0
