report_group,group_key,domain,method,adaptive,adaptive_label,fixed_weather,weather_label,hierarchical,baseline,total_years,budget_label,primary_metric_name,n,source_kind_set,inferential_eligible,primary_metric_value_mean,primary_metric_value_std,primary_metric_value_se,primary_metric_value_ci_low,primary_metric_value_ci_high,primary_metric_value_min,primary_metric_value_max,deterministic_return_mean,deterministic_return_std,deterministic_return_se,deterministic_return_ci_low,deterministic_return_ci_high,deterministic_return_min,deterministic_return_max,eval_det_mean_reward_mean,eval_det_mean_reward_std,eval_det_mean_reward_se,eval_det_mean_reward_ci_low,eval_det_mean_reward_ci_high,eval_det_mean_reward_min,eval_det_mean_reward_max,eval_sto_mean_reward_mean,eval_sto_mean_reward_std,eval_sto_mean_reward_se,eval_sto_mean_reward_ci_low,eval_sto_mean_reward_ci_high,eval_sto_mean_reward_min,eval_sto_mean_reward_max,stochastic_return_mean_mean,stochastic_return_mean_std,stochastic_return_mean_se,stochastic_return_mean_ci_low,stochastic_return_mean_ci_high,stochastic_return_mean_min,stochastic_return_mean_max,stochastic_return_std_mean,stochastic_return_std_std,stochastic_return_std_se,stochastic_return_std_ci_low,stochastic_return_std_ci_high,stochastic_return_std_min,stochastic_return_std_max,pak_holdout_return_mean,pak_holdout_return_std,pak_holdout_return_se,pak_holdout_return_ci_low,pak_holdout_return_ci_high,pak_holdout_return_min,pak_holdout_return_max,baseline_best_return_mean,baseline_best_return_std,baseline_best_return_se,baseline_best_return_ci_low,baseline_best_return_ci_high,baseline_best_return_min,baseline_best_return_max,uplift_vs_best_baseline_det_mean,uplift_vs_best_baseline_det_std,uplift_vs_best_baseline_det_se,uplift_vs_best_baseline_det_ci_low,uplift_vs_best_baseline_det_ci_high,uplift_vs_best_baseline_det_min,uplift_vs_best_baseline_det_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_se,runtime_seconds_ci_low,runtime_seconds_ci_high,runtime_seconds_min,runtime_seconds_max
crop_planning_dqn_rerun,DQN | nonadaptive | random_weather,crop_planning,DQN,False,nonadaptive,False,random_weather,False,False,,,eval_det_mean_reward,1,recovered_dqn_rerun,False,21185.598,,,21185.598,21185.598,21185.598,21185.598,21904.56640625,,,21904.56640625,21904.56640625,21904.56640625,21904.56640625,21185.598,,,21185.598,21185.598,21185.598,21185.598,20963.34,,,20963.34,20963.34,20963.34,20963.34,21214.8125,,,21214.8125,21214.8125,21214.8125,21214.8125,424.0162353515625,,,424.0162353515625,424.0162353515625,424.0162353515625,424.0162353515625,,,,,,,,,,,,,,,,,,,,,,1240.0,,,1240.0,1240.0,1240.0,1240.0
crop_planning_dqn_rerun,DQN | nonadaptive | fixed_weather,crop_planning,DQN,False,nonadaptive,True,fixed_weather,False,False,,,eval_det_mean_reward,1,recovered_dqn_rerun,False,17064.547,,,17064.547,17064.547,17064.547,17064.547,16609.130859375,,,16609.130859375,16609.130859375,16609.130859375,16609.130859375,17064.547,,,17064.547,17064.547,17064.547,17064.547,17185.105,,,17185.105,17185.105,17185.105,17185.105,17948.44140625,,,17948.44140625,17948.44140625,17948.44140625,17948.44140625,1263.0098876953125,,,1263.0098876953125,1263.0098876953125,1263.0098876953125,1263.0098876953125,,,,,,,,,,,,,,,,,,,,,,1167.0,,,1167.0,1167.0,1167.0,1167.0
crop_planning_hierarchical_guarded_rerun,PPO | fixed_weather | guarded_rerun,crop_planning,PPO,True,adaptive,True,fixed_weather,True,False,,,deterministic_return,3,recovered_hierarchical_rerun,True,1861223.0833333333,140407.7947857003,81064.4781158458,1512430.7852867963,2210015.38137987,1703309.25,1971988.25,1861223.0833333333,140407.7947857003,81064.4781158458,1512430.7852867963,2210015.38137987,1703309.25,1971988.25,1817411.8666666665,55914.08985446633,32282.01482896906,1678513.5674427114,1956310.1658906215,1756931.0,1867221.0,1780871.6666666667,14811.553698830292,8551.454515136267,1744077.7275542433,1817665.6057790902,1763774.0,1789787.2,1762992.125,14589.772850463609,8423.409282630659,1726749.1200567414,1799235.1299432586,1750836.75,1779171.625,40008.190104166664,8709.477665562357,5028.41927471346,18372.6481857641,61643.732022569224,33333.59375,49860.265625,,,,,,,,2368734.75,0.0,0.0,2368734.75,2368734.75,2368734.75,2368734.75,-507511.6666666667,140407.7947857003,81064.4781158458,-856303.9647132037,-158719.3686201296,-665425.5,-396746.5,24381.0,462.0519451317135,266.765814901385,23233.19933832494,25528.80066167506,23923.0,24847.0
crop_planning_hierarchical_guarded_rerun,A2C | fixed_weather | guarded_rerun,crop_planning,A2C,True,adaptive,True,fixed_weather,True,False,,,deterministic_return,3,recovered_hierarchical_rerun,True,1816127.6666666667,100162.30562850331,57828.73411726996,1567310.7059621227,2064944.6273712108,1756041.75,1931755.375,1816127.6666666667,100162.30562850331,57828.73411726996,1567310.7059621227,2064944.6273712108,1756041.75,1931755.375,1785387.6666666667,53356.36432604206,30805.31130662013,1652843.1098840982,1917932.2234492353,1753158.4,1846976.0,1786587.5333333332,13264.310360261226,7658.153157111561,1753637.159747456,1819537.9069192105,1771998.2,1797920.2,1780681.2916666667,13712.824667039184,7917.103012865214,1746616.7467770767,1814745.8365562567,1767740.25,1795053.625,36333.9296875,14103.4400387404,8142.624902866517,1299.0424222895963,71368.8169527104,24255.03515625,51832.8828125,,,,,,,,2368734.75,0.0,0.0,2368734.75,2368734.75,2368734.75,2368734.75,-552607.0833333334,100162.30562850331,57828.73411726996,-801424.0440378773,-303790.1226287894,-612693.0,-436979.375,25529.333333333332,957.0174153761955,552.5342623866064,23151.970281024955,27906.69638564171,24851.0,26624.0
crop_planning_hierarchical_guarded_rerun,A2C | random_weather | guarded_rerun,crop_planning,A2C,True,adaptive,False,random_weather,True,False,,,deterministic_return,3,recovered_hierarchical_rerun,True,1794337.0833333333,52954.64745913085,30573.379965370932,1662790.4465692928,1925883.7200973737,1733949.5,1832849.5,1794337.0833333333,52954.64745913085,30573.379965370932,1662790.4465692928,1925883.7200973737,1733949.5,1832849.5,1770119.0666666664,26003.76425237957,15013.280291054913,1705522.1352406656,1834715.9980926672,1751422.8,1799815.0,1775706.2666666666,14097.775904494083,8139.354713434679,1740685.4498909416,1810727.0834423916,1759526.4,1785347.4,1801558.1666666667,21211.29775074673,12246.348466254929,1748866.3820095249,1854249.9513238086,1786196.75,1825759.75,44798.467447916664,8927.133064149471,5154.082677678306,22622.2395457245,66974.69535010883,34493.4375,50171.1484375,,,,,,,,2357982.4166666665,30666.883377404578,17705.533373151393,2281801.6551679503,2434163.1781653827,2322592.75,2376743.25,-563645.3333333334,22831.391715045174,13181.710152655123,-620361.6545037183,-506929.01216294843,-588643.25,-543893.75,26101.666666666668,339.07275522125536,195.76374650185988,25259.363248404898,26943.970084928438,25783.0,26458.0
crop_planning_hierarchical_guarded_rerun,PPO | random_weather | guarded_rerun,crop_planning,PPO,True,adaptive,False,random_weather,True,False,,,deterministic_return,3,recovered_hierarchical_rerun,True,1737083.0,94725.06072279658,54689.53930731025,1501772.9044135772,1972393.0955864228,1674120.25,1846021.5,1737083.0,94725.06072279658,54689.53930731025,1501772.9044135772,1972393.0955864228,1674120.25,1846021.5,1763555.3666666665,90434.43454438886,52212.3451282145,1538903.7773769172,1988206.9559564157,1661418.9,1833451.6,1774886.0,22814.970635966147,13172.229438228464,1718210.4710514224,1831561.5289485776,1749106.8,1792476.4,1767289.4583333333,33469.33548888756,19323.52985410713,1684147.0198591943,1850431.8968074722,1733344.75,1800262.25,35815.51171875,10076.276055529248,5817.540693088792,10784.654375513124,60846.36906198687,26174.79296875,46277.125,,,,,,,,2365425.5833333335,17788.377225967895,10270.124379859173,2321236.8046360137,2409614.3620306533,2344922.25,2376743.25,-628342.5833333334,86706.3014291397,50059.90647055064,-843732.9765571817,-412952.1901094851,-685636.0,-528589.75,24442.0,508.55383195882024,293.6136917788406,23178.68224759161,25705.31775240839,23865.0,24825.0
crop_planning_nonhier,PPO | nonadaptive | fixed_weather,crop_planning,PPO,False,nonadaptive,True,fixed_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,21230.912,2417.461262628007,1395.7219107337723,15225.60531088462,27236.21868911538,18446.914,22799.363,12425.362955729166,2061.632574681316,1190.284121962359,7303.983729253847,17546.742182204485,10715.5185546875,14714.7373046875,21230.912,2417.461262628007,1395.7219107337723,15225.60531088462,27236.21868911538,18446.914,22799.363,16574.435,754.3953130693483,435.5503370759803,14700.41315325996,18448.456846740042,15721.799,17155.256,16058.6123046875,923.0529885466788,532.9248914137136,13765.621565923266,18351.603043451734,15316.9873046875,17092.388671875,1500.7848510742188,765.2769578635465,441.8328576271365,-400.26849986462685,3401.8382020130643,739.6766967773438,2270.16357421875,,,,,,,,20593.30859375,0.0,0.0,20593.30859375,20593.30859375,20593.30859375,20593.30859375,-8167.945638020833,2061.632574681316,1190.284121962359,-13289.324864496153,-3046.566411545514,-9877.7900390625,-5878.5712890625,840.6666666666666,31.13411847689498,17.97529168361702,763.3252288370675,918.0081044962658,808.0,870.0
crop_planning_nonhier,PPO | nonadaptive | random_weather,crop_planning,PPO,False,nonadaptive,False,random_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,20510.236333333334,2332.0145467655934,1346.3892263292385,14717.191053434359,26303.28161323231,17820.512,21966.135,12451.225911458334,1545.1865059689537,892.1138451693528,8612.769840340698,16289.68198257597,10991.7509765625,14069.8115234375,20510.236333333334,2332.0145467655934,1346.3892263292385,14717.191053434359,26303.28161323231,17820.512,21966.135,16620.232,462.4239028867348,266.9805648113737,15471.507344038526,17768.956655961476,16239.791,17134.928,15973.1416015625,952.2428899260717,549.7776888327247,13607.639127980341,18338.644075144657,15239.876953125,17049.357421875,1497.5252685546875,886.07327958813,511.57464649194145,-703.6027806172033,3698.6533177265783,596.4776611328125,2367.82373046875,,,,,,,,20588.151041666668,295.8407706694969,170.8037485833004,19853.241826582398,21323.060256750938,20355.875,20921.216796875,-8136.925130208333,1660.4144109477857,958.640707127038,-12261.623185526323,-4012.227074890343,-9495.6103515625,-6286.0634765625,855.6666666666666,14.571661996262929,8.412952976082641,819.4686515793194,891.8646817540139,844.0,872.0
crop_planning_nonhier,A2C | adaptive | fixed_weather,crop_planning,A2C,True,adaptive,True,fixed_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,20304.788,2882.072168537076,1663.9651423288094,13145.32383823972,27464.252161760283,18263.104,23601.588,22092.006510416668,2823.9481805447545,1630.407242215068,15076.930339183647,29107.08268164969,18993.7734375,24521.689453125,20304.788,2882.072168537076,1663.9651423288094,13145.32383823972,27464.252161760283,18263.104,23601.588,18256.263666666666,2498.4527777785443,1442.4823838080108,12049.76290043653,24462.7644328968,16527.041,21120.777,18255.009765625,2330.1847408231174,1345.3327873757853,12466.509975672858,24043.50955557714,16219.7734375,20796.806640625,1256.0067545572917,202.58417743774078,116.96202937723855,752.7597595865159,1759.2537495280676,1092.3878173828125,1482.5987548828125,,,,,,,,20593.30859375,0.0,0.0,20593.30859375,20593.30859375,20593.30859375,20593.30859375,1498.6979166666667,2823.9481805447545,1630.407242215068,-5516.378254566354,8513.774087899688,-1599.53515625,3928.380859375,880.0,5.5677643628300215,3.2145502536643185,866.1689065763258,893.8310934236742,874.0,885.0
crop_planning_nonhier,PPO | adaptive | fixed_weather,crop_planning,PPO,True,adaptive,True,fixed_weather,False,False,,,eval_det_mean_reward,3,existing_curated_bundle,True,20083.151,1532.7827608604564,884.9525395920023,16275.50753987294,23890.794460127065,18313.246,20968.562,21165.8515625,4297.711080896727,2481.284649454963,10489.745392369468,31841.95773263053,16337.63671875,24573.224609375,20083.151,1532.7827608604564,884.9525395920023,16275.50753987294,23890.794460127065,18313.246,20968.562,16492.145666666667,892.5235302636761,515.2987004558086,14274.994306541608,18709.297026791726,15709.979,17464.4,16301.447265625,453.74338697338214,261.9688666120947,15174.286206601066,17428.608324648932,15791.869140625,16661.73828125,1177.711893717448,451.9354829615198,260.925072744177,55.041917228550574,2300.3818702063454,884.9583129882812,1698.2105712890625,,,,,,,,20593.30859375,0.0,0.0,20593.30859375,20593.30859375,20593.30859375,20593.30859375,572.54296875,4297.711080896727,2481.284649454963,-10103.563201380532,11248.649138880532,-4255.671875,3979.916015625,863.3333333333334,35.72580766523457,20.626304672539977,774.585507230485,952.0811594361818,823.0,891.0
