index,label,bundle_dir,summary_json_path,summary_json_count,summary_json_present_actual,wandb_summary_present_actual,model_zip_present_actual,best_model_present_actual,vec_normalize_present_actual,hierarchical_report_present_actual,is_replacement,report_group,source_kind,source_project,notes,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status
11,Fertilization | PPO | adaptive | random_weather | years=1000 | seed=2,artifacts/final_successful_runs/final_113/bundles/011_fertilization_ppo_adaptive_random_weather_years_1000_seed_2,artifacts/final_successful_runs/final_113/bundles/011_fertilization_ppo_adaptive_random_weather_years_1000_seed_2/summary/011_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
12,Fertilization | PPO | nonadaptive | random_weather | years=1000 | seed=2,artifacts/final_successful_runs/final_113/bundles/012_fertilization_ppo_nonadaptive_random_weather_years_1000_seed_2,artifacts/final_successful_runs/final_113/bundles/012_fertilization_ppo_nonadaptive_random_weather_years_1000_seed_2/summary/012_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
13,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/013_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/013_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_0/summary/013_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
14,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/014_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/014_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_0/summary/014_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
15,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/015_fertilization_ppo_adaptive_random_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/015_fertilization_ppo_adaptive_random_weather_years_3000_seed_0/summary/015_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
16,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/016_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/016_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_0/summary/016_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
17,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/017_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/017_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_1/summary/017_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
18,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/018_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/018_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_1/summary/018_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
19,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/019_fertilization_ppo_adaptive_random_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/019_fertilization_ppo_adaptive_random_weather_years_3000_seed_1/summary/019_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
20,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=1,artifacts/final_successful_runs/final_113/bundles/020_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_1,artifacts/final_successful_runs/final_113/bundles/020_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_1/summary/020_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
