YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.752015        1.819666        0.032288        0.033534        0.000000        0.000000        0.832957            1.396488            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    1.1734E-007 3.0177E-005 11.291773   1.254690    0.379599    0.042305    0.000000    0.154712    8.4901E-003 0.000000        3.4919E-003 1.8062E-004 0.000000    0.000000    -999
2       0.335028    2.2164E-004 1.2223E-003 11.265874   1.251799    0.315435    0.035465    0.000000    0.046202    1.9143E-003 0.000000        1.0428E-003 4.2086E-005 0.000000    0.000000    -999
3       0.355089    4.1853E-003 3.1054E-003 22.499899   2.500066    0.620396    0.069930    0.000000    0.072842    2.4772E-003 0.000000        1.6441E-003 5.3687E-005 0.000000    0.000000    -999
4       0.400709    0.020897    3.5090E-003 7.709040    0.856603    0.297113    0.033472    0.000000    0.097846    5.9513E-003 0.000000        2.2084E-003 1.2878E-004 0.000000    0.000000    -999
5       0.402460    0.018212    5.1229E-004 7.677621    0.853070    0.272463    0.030395    0.000000    0.111940    0.023125    0.000000        2.5265E-003 4.8930E-004 0.000000    0.000000    -999
6       0.479817    9.1840E-003 5.4347E-005 4.207311    0.467479    0.151032    0.016833    0.000000    0.066781    0.012519    0.000000        1.5073E-003 2.6251E-004 0.000000    0.000000    -999
7       0.455289    2.4012E-003 3.1070E-005 4.207218    0.467469    0.139910    0.015573    0.000000    0.036167    3.9648E-003 0.000000        8.1631E-004 8.2841E-005 0.000000    0.000000    -999
8       0.436468    3.7620E-004 1.7376E-005 4.207246    0.467472    0.137091    0.015255    0.000000    0.011082    3.3072E-004 0.000000        2.5012E-004 6.8865E-006 0.000000    0.000000    -999
9       0.391026    2.8593E-004 2.8385E-005 4.207189    0.467465    0.132208    0.014703    0.000000    4.6892E-003 1.0249E-004 0.000000        1.0584E-004 2.1155E-006 0.000000    0.000000    -999

