YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
1.107703        1.206584        0.022657        0.024680        0.000000        0.000000        0.850095            0.925983            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.335028    3.8861E-005 1.3015E-003 11.364657   1.262915    0.411103    0.046087    0.000000    0.106745    4.1247E-003 0.000000        2.4535E-003 7.6506E-005 0.000000    0.000000    -999
2       0.335028    9.5361E-005 1.1813E-003 11.243099   1.249278    0.311212    0.035046    0.000000    0.034705    1.2770E-003 0.000000        7.9768E-004 2.5327E-005 0.000000    0.000000    -999
3       0.335330    8.3459E-004 3.1588E-003 22.515429   2.501773    0.624736    0.070322    0.000000    0.085295    9.4624E-003 0.000000        1.9605E-003 1.9765E-004 0.000000    0.000000    -999
4       0.423948    8.1800E-003 3.6814E-003 7.696495    0.855193    0.300663    0.033841    0.000000    0.120530    0.016956    0.000000        2.7703E-003 3.5720E-004 0.000000    0.000000    -999
5       0.390644    0.015490    8.8507E-004 7.678094    0.853123    0.272916    0.030491    0.000000    0.093041    0.015670    0.000000        2.1385E-003 3.1591E-004 0.000000    0.000000    -999
6       0.494417    0.022682    1.2336E-004 4.207330    0.467481    0.150833    0.016826    0.000000    0.059317    9.2568E-003 0.000000        1.3634E-003 1.7751E-004 0.000000    0.000000    -999
7       0.498739    0.019336    4.3144E-005 4.207190    0.467466    0.137078    0.015257    0.000000    0.037250    3.9002E-003 0.000000        8.5618E-004 6.9537E-005 0.000000    0.000000    -999
8       0.502910    0.012415    2.5589E-005 4.207174    0.467464    0.133021    0.014795    0.000000    0.017638    7.1084E-004 0.000000        4.0541E-004 1.1817E-005 0.000000    0.000000    -999
9       0.506792    6.3578E-003 2.5306E-005 4.207149    0.467461    0.130027    0.014456    0.000000    8.2316E-003 2.7169E-004 0.000000        1.8920E-004 4.5303E-006 0.000000    0.000000    -999

