YEAR    1981    DOY     1
STANRESIDUEC    FLATRESIDUEC    STANRESIDUEN    FLATRESIDUEN    MANURESURFACEC  MANURESURFACEN  STANRESIDUEWATER    FLATRESIDUEWATER    INFILTRATION
0.700916        0.784667        0.014647        0.016397        0.000000        0.000000        0.017276            0.041171            -999
LAYER   SMC         NO3         NH4         SOC         SON         MBC         MBN         RESABGDC    RESRTC      RESRZC      RESIDUEABGDN    RESIDUERTN  RESIDUERZN  MANUREC     MANUREN     SATURATION
1       0.254655    1.1912E-003 5.4709E-003 11.475526   1.275452    0.403050    0.045834    0.000000    0.071235    4.6650E-003 0.000000        1.6102E-003 1.0034E-004 0.000000    0.000000    -999
2       0.335028    2.7653E-003 1.6013E-003 11.260478   1.251205    0.310327    0.034940    0.000000    0.029879    1.0764E-003 0.000000        6.7540E-004 2.3005E-005 0.000000    0.000000    -999
3       0.335028    0.010131    2.9486E-003 22.534515   2.503900    0.617191    0.069456    0.000000    0.047573    4.0500E-003 0.000000        1.0754E-003 8.7750E-005 0.000000    0.000000    -999
4       0.364607    0.019574    2.8884E-003 7.705642    0.856215    0.293302    0.032963    0.000000    0.072552    7.8332E-003 0.000000        1.6400E-003 1.6861E-004 0.000000    0.000000    -999
5       0.364607    0.017404    1.3896E-003 7.682744    0.853643    0.277654    0.031026    0.000000    0.050247    5.5132E-003 0.000000        1.1358E-003 1.1448E-004 0.000000    0.000000    -999
6       0.472059    0.014336    1.9471E-004 4.207856    0.467540    0.159253    0.017768    0.000000    0.033929    3.7389E-003 0.000000        7.6696E-004 7.6048E-005 0.000000    0.000000    -999
7       0.486083    7.8537E-003 6.8206E-005 4.207259    0.467473    0.141656    0.015770    0.000000    0.023692    2.1309E-003 0.000000        5.3556E-004 4.2747E-005 0.000000    0.000000    -999
8       0.491987    3.2954E-003 4.6169E-005 4.207186    0.467465    0.134037    0.014908    0.000000    0.013113    5.7494E-004 0.000000        2.9642E-004 1.1634E-005 0.000000    0.000000    -999
9       0.495302    1.1729E-003 3.8752E-005 4.207169    0.467463    0.130910    0.014555    0.000000    4.8639E-003 8.2372E-005 0.000000        1.0995E-004 1.6649E-006 0.000000    0.000000    -999

