num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
33,0,2005-08-13,2005,225,1,75.0,80.0,48.0,1526.0869500000001,7978.32064,2303.722464,11808.130054000001,-0.23054485023021698,False,,,"[1, 3, 1, 3, 5, 10, 8]"
34,0,2005-08-20,2005,232,1,90.0,40.0,18.0,1831.3043400000001,3989.16032,863.8959239999999,6684.360584,-0.12628693878650665,False,,,"[0, 2, 7, 7, 6, 5, 3]"
35,0,2005-08-27,2005,239,1,75.0,72.0,36.0,1526.0869500000001,7180.488576,1727.7918479999998,10434.367374000001,-0.19049067795276642,False,,,"[1, 10, 0, 0, 5, 9, 6]"
36,0,2005-09-03,2005,246,1,135.0,16.0,18.0,2746.95651,1595.664128,863.8959239999999,5206.516562000001,-0.09218496829271317,False,,,"[1, 10, 9, 0, 9, 2, 3]"
37,0,2005-09-10,2005,253,1,105.0,32.0,24.0,2136.52173,3191.328256,1151.861232,6479.7112179999995,-0.11149286478757858,False,,,"[1, 2, 4, 3, 7, 4, 4]"
38,0,2005-09-17,2005,260,1,150.0,8.0,12.0,3052.1739000000002,797.832064,575.930616,4425.93658,-0.07424969226121902,False,,,"[1, 3, 6, 2, 10, 1, 2]"
39,0,2005-09-24,2005,267,1,0.0,40.0,60.0,0.0,3989.16032,2879.6530799999996,6868.813399999999,-0.11246366798877716,False,,,"[0, 7, 7, 7, 0, 5, 10]"
40,0,2005-10-01,2005,274,1,15.0,80.0,0.0,305.21739,7978.32064,0.0,8283.53803,-0.13237018883228302,False,,,"[1, 10, 4, 9, 1, 10, 0]"
41,0,2005-10-08,2005,281,1,150.0,32.0,18.0,3052.1739000000002,3191.328256,863.8959239999999,7107.398080000001,-0.11094434559345245,False,,,"[0, 5, 0, 2, 10, 4, 3]"
42,0,2005-10-15,2005,288,1,90.0,56.0,0.0,1831.3043400000001,5584.824447999999,0.0,7416.128788,-0.11315272003412247,False,,,"[1, 9, 4, 2, 6, 7, 0]"
43,0,2005-10-22,2005,295,1,150.0,48.0,18.0,3052.1739000000002,4786.992383999999,863.8959239999999,8703.062208,-0.1297767609357834,False,,,"[1, 12, 7, 7, 10, 6, 3]"
44,0,2005-10-29,2005,302,1,90.0,24.0,60.0,1831.3043400000001,2393.4961919999996,2879.6530799999996,7104.453611999999,-0.10362746566534042,False,,,"[1, 8, 3, 6, 6, 3, 10]"
45,0,2005-11-05,2005,309,1,120.0,32.0,54.0,2441.73912,3191.328256,2591.6877719999998,8224.755148,-0.11737722158432007,False,,,"[0, 12, 4, 3, 8, 4, 9]"
46,0,2005-11-12,2005,316,1,120.0,40.0,30.0,2441.73912,3989.16032,1439.8265399999998,7870.72598,-0.10994862020015717,False,,,"[0, 11, 8, 0, 8, 5, 5]"
